"","top_hit","gene_id","length","eValue","bitscore","simMean","UniProtKB_entry","status","protein_names","gene_names","organism","GO_IDs","GO_terms"
"11195","XP_022803203.1","Pver_g11476.t2",1112,0,2223,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11196","XP_027049906.1","Pver_g11477.t1",509,6.8e-292,1013.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11197","XP_027049877.1","Pver_g11478.t1",2507,0,5017.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11198","XP_027049825.1","Pver_g11480.t1",1194,0,2306.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11199","RMX40208.1","Pver_g11481.t1",359,1.2e-154,557.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11200","XP_027049825.1","Pver_g11482.t2",1231,0,2134.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11201","XP_027049816.1","Pver_g11483.t1",1301,0,2537.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11202","RMX54452.1","Pver_g11484.t1",101,2.5e-50,209.1,NA,"A0A3M6ULG0_POCDA","unreviewed","Uncharacterized protein","pdam_00020252","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","NA;GO:0004096; GO:0020037","NA;catalase activity [GO:0004096]; heme binding [GO:0020037]"
"11203","RMX60806.1","Pver_g11485.t1",469,9.8e-185,658.7,71.86,"A0A3M6V4D2_POCDA","unreviewed","NACHT domain-containing protein","pdam_00007783","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0016020;GO:0016021","C:membrane;integral component of membrane [GO:0016021]"
"11204","XP_027057838.1","Pver_g11487.t2",117,6.4e-61,244.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11205","XP_027051567.1","Pver_g11488.t1",583,2.7e-262,916,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11206","PFX12122.1","Pver_g11489.t1",225,5.7e-93,352.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11207","XP_027060214.1","Pver_g11490.t1",246,5.6e-140,508.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11208","XP_022801750.1","Pver_g11491.t1",417,1.8e-229,805.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11209","XP_027060217.1","Pver_g11492.t1",676,0,1371.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11210","XP_027060215.1","Pver_g11493.t1",1185,0,2308.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11211","XP_027060216.1","Pver_g11494.t1",1188,0,2309.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11212","XP_022801740.1","Pver_g11495.t1",525,2.9e-141,513.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11213","XP_027043423.1","Pver_g11496.t1",1187,0,2338.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11214","RMX54874.1","Pver_g11497.t1",587,0,1117.4,100,"A0A3M6UMW5_POCDA","unreviewed","Sodium/hydrogen exchanger","pdam_00023315","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006885; P:GO:0035725; P:GO:1902600; F:GO:0015385; C:GO:0010008; C:GO:0016021;GO:0006885; GO:0010008; GO:0015385; GO:0016021","P:regulation of pH; P:sodium ion transmembrane transport; P:proton transmembrane transport; F:sodium:proton antiporter activity; C:endosome membrane; C:integral component of membrane;endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; sodium:proton antiporter activity [GO:0015385]; regulation of pH [GO:0006885]"
"11215","XP_027043448.1","Pver_g11498.t1",201,2.8e-108,402.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11216","XP_027043448.1","Pver_g11499.t2",1426,0,2350.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11217","RMX47105.1","Pver_g11500.t1",1483,4.5e-283,985.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11218","RMX47101.1","Pver_g11501.t1",402,2.3e-207,732.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11219","XP_027042480.1","Pver_g11502.t1",448,3.1e-241,845.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11220","XP_027042475.1","Pver_g11503.t1",403,1.1e-215,760,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11221","RMX47105.1","Pver_g11504.t1",904,0,1594.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11222","RMX47097.1","Pver_g11505.t1",1098,0,1763,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11223","XP_027041104.1","Pver_g11506.t1",1665,0,2104.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11224","XP_027041103.1","Pver_g11507.t1",372,2.9e-191,678.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11225","XP_027041112.1","Pver_g11508.t1",584,0,1116.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11226","XP_027041128.1","Pver_g11509.t1",419,3.9e-245,857.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11227","PFX30742.1","Pver_g11510.t1",76,3.2e-28,134.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11228","XP_027041129.1","Pver_g11511.t1",430,1.9e-239,839,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11229","XP_027041132.1","Pver_g11512.t1",533,4.7e-277,964.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11230","XP_027041134.1","Pver_g11513.t1",269,5.6e-136,494.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11231","XP_027041144.1","Pver_g11514.t1",216,1.7e-112,416.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11232","XP_027041096.1","Pver_g11515.t1",2528,0,3845.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11233","XP_027041094.1","Pver_g11516.t1",249,4.8e-134,488,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11234","RMX48166.1","Pver_g11517.t1",736,9.3e-265,923.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11235","XP_027041097.1","Pver_g11518.t1",253,1.9e-109,406.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11236","RMX48166.1","Pver_g11519.t1",254,3.1e-136,495.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11237","XP_027041098.1","Pver_g11520.t1",399,2.9e-184,655.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11238","RMX48191.1","Pver_g11521.t1",582,0,1165.2,97.42,"A0A3M6U3K3_POCDA","unreviewed","Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase)","pdam_00015384","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0005991; F:GO:0004555; C:GO:0016021;GO:0004555; GO:0005991; GO:0016021","P:trehalose metabolic process; F:alpha,alpha-trehalase activity; C:integral component of membrane;integral component of membrane [GO:0016021]; alpha,alpha-trehalase activity [GO:0004555]; trehalose metabolic process [GO:0005991]"
"11239","XP_027041143.1","Pver_g11522.t1",216,2.2e-122,449.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11240","RMX48169.1","Pver_g11523.t1",133,6.9e-67,264.2,97.74,"A0A3M6U3N0_POCDA","unreviewed","TYR_PHOSPHATASE_2 domain-containing protein","pdam_00015385","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0035335; F:GO:0004725; C:GO:0016021;GO:0004725; GO:0016021","P:peptidyl-tyrosine dephosphorylation; F:protein tyrosine phosphatase activity; C:integral component of membrane;integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]"
"11241","XP_027041138.1","Pver_g11524.t1",183,1.7e-91,346.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11242","XP_022782207.1","Pver_g11525.t1",289,1.4e-153,553.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11243","XP_022782207.1","Pver_g11526.t1",289,5.8e-163,584.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11244","XP_027041122.1","Pver_g11527.t1",685,0,1218.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11245","XP_027041105.1","Pver_g11528.t1",384,1e-227,800,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11246","RMX48188.1","Pver_g11529.t1",892,0,1307,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11247","XP_027041117.1","Pver_g11530.t1",348,1.1e-197,699.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11248","RMX48187.1","Pver_g11531.t1",1257,0,2113.2,86.79,"A0A3M6U3L4_POCDA","unreviewed","Xanthine dehydrogenase (EC 1.17.1.4)","pdam_00015397","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0004854; F:GO:0004855; F:GO:0005506; F:GO:0043546; F:GO:0051537; F:GO:0071949; C:GO:0005777;GO:0004854; GO:0004855; GO:0005506; GO:0005777; GO:0009055; GO:0043546; GO:0051537; GO:0071949","F:xanthine dehydrogenase activity; F:xanthine oxidase activity; F:iron ion binding; F:molybdopterin cofactor binding; F:2 iron, 2 sulfur cluster binding; F:FAD binding; C:peroxisome;peroxisome [GO:0005777]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]"
"11249","PFX30695.1","Pver_g11532.t1",855,1.3e-227,800.4,54.62,"A0A2B4SQM3_STYPI","unreviewed","Arsenite methyltransferase","As3mt AWC38_SpisGene4512","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0032259; F:GO:0008168; F:GO:0016740;GO:0008168; GO:0032259","P:methylation; F:methyltransferase activity; F:transferase activity;methyltransferase activity [GO:0008168]; methylation [GO:0032259]"
"11250","RMX58102.1","Pver_g11534.t1",1352,0,1466.4,60.95,"A0A3M6UWQ2_POCDA","unreviewed","TPR_REGION domain-containing protein","pdam_00025318","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005524;GO:0005524; GO:0016887","F:ATP binding;ATP binding [GO:0005524]; ATPase activity [GO:0016887]"
"11251","RMX58102.1","Pver_g11535.t2",1352,0,1559.3,63.61,"A0A3M6UWQ2_POCDA","unreviewed","TPR_REGION domain-containing protein","pdam_00025318","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005524;GO:0005524; GO:0016887","F:ATP binding;ATP binding [GO:0005524]; ATPase activity [GO:0016887]"
"11252","PFX20540.1","Pver_g11536.t1",118,2.9e-39,172.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11253","XP_022804393.1","Pver_g11537.t1",101,9.5e-46,193.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11254","RMX57472.1","Pver_g11538.t1",81,1.5e-23,119.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11255","XP_027052549.1","Pver_g11539.t2",481,2e-251,881.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11256","XP_015761482.1","Pver_g11540.t4",749,6.7e-179,640.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11257","RMX51462.1","Pver_g11541.t1",468,2e-270,943,95.3,"A0A3M6UCS7_POCDA","unreviewed","Sulfatase domain-containing protein","pdam_00018808","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0008484;GO:0008484","F:sulfuric ester hydrolase activity;sulfuric ester hydrolase activity [GO:0008484]"
"11258","XP_027037255.1","Pver_g11542.t1",307,4e-176,628.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11259","XP_027037259.1","Pver_g11544.t1",849,0,1676.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11260","XP_027037260.1","Pver_g11545.t1_g11543.t1",660,0,1278.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11261","XP_027037249.1","Pver_g11546.t1",452,5.7e-242,847.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11262","XP_027037262.1","Pver_g11547.t1",734,0,1409.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11263","RMX51469.1","Pver_g11548.t1",368,4.1e-212,748,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11264","XP_022803174.1","Pver_g11549.t1",448,2e-255,892.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11265","XP_027043295.1","Pver_g11550.t1",289,6.8e-148,534.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11266","RMX46540.1","Pver_g11551.t1",1247,0,2336.2,97.27,"A0A3M6TYR6_POCDA","unreviewed","BAR domain-containing protein","pdam_00021704","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0005737;GO:0005737","C:cytoplasm;cytoplasm [GO:0005737]"
"11267","XP_027043293.1","Pver_g11552.t1",498,8e-269,936.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11268","XP_027043303.1","Pver_g11553.t1",750,0,1317.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11269","XP_027043302.1","Pver_g11554.t2",377,8.7e-173,617.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11270","XP_020604966.1","Pver_g11555.t2",309,1.3e-104,391.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11271","XP_015771354.1","Pver_g11556.t2",355,7.4e-63,253.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11272","PFX14702.1","Pver_g11557.t1",758,6.5e-236,828.9,56.86,"A0A2B4REM5_STYPI","unreviewed","Receptor protein-tyrosine kinase (EC 2.7.10.1)","Cad96Ca AWC38_SpisGene21115","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0006468; P:GO:0006897; P:GO:0016310; P:GO:0018108; F:GO:0000166; F:GO:0004672; F:GO:0004713; F:GO:0004714; F:GO:0005044; F:GO:0005524; F:GO:0016301; C:GO:0016020;GO:0004714; GO:0005044; GO:0005524; GO:0016021","P:protein phosphorylation; P:endocytosis; P:phosphorylation; P:peptidyl-tyrosine phosphorylation; F:nucleotide binding; F:protein kinase activity; F:protein tyrosine kinase activity; F:transmembrane receptor protein tyrosine kinase activity; F:scavenger receptor activity; F:ATP binding; F:kinase activity; C:membrane;integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]"
"11273","RMX53435.1","Pver_g11558.t1",496,5.4e-117,432.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11274","XP_020915646.1","Pver_g11559.t1",396,9.8e-104,387.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11275","PFX16331.1","Pver_g11560.t1",197,1e-55,228,62.94,"A0A2B4RFE3_STYPI","unreviewed","Putative 41.2 kDa protein in cps region (Fragment)","AWC38_SpisGene19410","Stylophora pistillata (Smooth cauliflower coral)","F:GO:0016757;GO:0016757","F:glycosyltransferase activity;transferase activity, transferring glycosyl groups [GO:0016757]"
"11276","XP_022804690.1","Pver_g11561.t3",1817,0,1649.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11277","PFX16674.1","Pver_g11562.t1",1090,0,1188.3,69.82,"A0A2B4RE77_STYPI","unreviewed","Neurogenic locus notch-like protein 2 (Fragment)","NOTCH2 AWC38_SpisGene19044","Stylophora pistillata (Smooth cauliflower coral)","F:GO:0005509;GO:0005509","F:calcium ion binding;calcium ion binding [GO:0005509]"
"11278","XP_027038262.1","Pver_g11563.t1",455,2.6e-229,805.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11279","XP_027038262.1","Pver_g11564.t1",1367,0,1754.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11280","XP_022804757.1","Pver_g11565.t1",811,1.3e-285,993.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11281","XP_028404050.1","Pver_g11566.t1",251,6.4e-102,382.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11282","XP_027049579.1","Pver_g11567.t1",483,1.9e-209,739.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11283","XP_027049579.1","Pver_g11568.t1",726,0,1381.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11284","XP_027049576.1","Pver_g11569.t1",676,5.8e-99,372.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11285","XP_022795941.1","Pver_g11570.t2",2484,0,2546.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11286","XP_027057749.1","Pver_g11572.t1",312,1.4e-171,613.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11287","XP_027057745.1","Pver_g11573.t1",317,2.5e-165,593.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11288","XP_027057766.1","Pver_g11574.t1",188,6.8e-90,342,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11289","XP_015767176.1","Pver_g11575.t1",107,4.2e-21,111.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11290","XP_027042371.1","Pver_g11576.t1",463,5.2e-227,798.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11291","XP_027057302.1","Pver_g11577.t1",314,4e-108,402.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11292","XP_022782829.1","Pver_g11578.t1",336,1e-82,317.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11293","XP_027057308.1","Pver_g11579.t1",284,9.6e-148,533.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11294","XP_029180058.1","Pver_g11580.t1",269,2.6e-109,406,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11295","XP_027057302.1","Pver_g11581.t1",314,1.6e-109,406.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11296","XP_027041925.1","Pver_g11582.t1",515,1.4e-300,1042.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11297","XP_027041926.1","Pver_g11583.t1",237,1.1e-130,476.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11298","XP_027041921.1","Pver_g11584.t1",203,2.1e-88,335.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11299","PFX17998.1","Pver_g11585.t1",1056,0,1961.4,91,"A0A2B4RNT6_STYPI","unreviewed","Acid-sensing ion channel 1","asic1 AWC38_SpisGene17671","Stylophora pistillata (Smooth cauliflower coral)","P:GO:0035725; F:GO:0005272; C:GO:0016021;GO:0005272; GO:0016021","P:sodium ion transmembrane transport; F:sodium channel activity; C:integral component of membrane;integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]"
"11300","XP_027041904.1","Pver_g11586.t1",519,2.3e-303,1051.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11301","XP_029205440.1","Pver_g11587.t1",186,5.5e-51,212.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11302","XP_027041909.1","Pver_g11588.t1",1805,0,3353.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11303","XP_022802630.1","Pver_g11589.t2",254,1.3e-103,386.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11304","XP_027041903.1","Pver_g11590.t1",526,2.9e-298,1034.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11305","XP_027041902.1","Pver_g11591.t1",457,2.3e-267,931.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11306","XP_020612698.1","Pver_g11592.t1",619,0,1187.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11307","RMX47485.1","Pver_g11593.t4",1025,0,1212.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11308","XP_027041960.1","Pver_g11594.t1",257,1.1e-113,420.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11309","XP_027054356.1","Pver_g11595.t2",385,5.2e-195,691.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11310","XP_027054374.1","Pver_g11596.t1",161,1.9e-75,292.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11311","XP_027054373.1","Pver_g11597.t2",1426,0,2271.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11312","XP_027054355.1","Pver_g11598.t1",988,0,2015,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11313","KAG1682379.1","Pver_g11599.t2",265,3.1e-59,240.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11314","RMX59029.1","Pver_g11600.t1",100,1.4e-34,157.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11315","KXJ22440.1","Pver_g11601.t1",696,3.8e-130,476.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11316","XP_027053124.1","Pver_g11602.t1",615,0,1206.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11317","XP_027053121.1","Pver_g11603.t2",877,0,1668.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11318","XP_027052663.1","Pver_g11604.t1",152,2.8e-76,295.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11319","RMX43683.1","Pver_g11605.t1",136,3.5e-43,186.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11320","XP_027052660.1","Pver_g11606.t2",454,8.8e-243,850.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11321","XP_027052656.1","Pver_g11607.t1",1161,0,2296.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11322","XP_027052657.1","Pver_g11608.t2",644,0,1294.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11323","XP_022780611.1","Pver_g11609.t1",632,0,1210.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11324","XP_027036334.1","Pver_g11610.t1",221,9e-124,453.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11325","XP_027036333.1","Pver_g11611.t1",355,2.5e-184,655.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11326","XP_027036327.1","Pver_g11612.t1",206,1.4e-108,404.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11327","XP_027036331.1","Pver_g11613.t1",122,5.7e-28,134.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11328","XP_027036331.1","Pver_g11614.t1",300,1.3e-161,580.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11329","XP_027036326.1","Pver_g11615.t1",218,7.6e-82,314.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11330","XP_027036323.1","Pver_g11616.t1",327,3.6e-177,631.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11331","XP_027036322.1","Pver_g11617.t1",372,1.4e-193,686.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11332","XP_027036332.1","Pver_g11618.t1",503,7.9e-293,1016.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11333","RMX45394.1","Pver_g11619.t1",444,1.7e-157,566.6,70.72,"A0A3M6TVU9_POCDA","unreviewed","Protein kinase domain-containing protein (Fragment)","pdam_00000776","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0006468; F:GO:0000166; F:GO:0004672; F:GO:0004674; F:GO:0005524;GO:0004674; GO:0005524","P:protein phosphorylation; F:nucleotide binding; F:protein kinase activity; F:protein serine/threonine kinase activity; F:ATP binding;ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]"
"11334","XP_027044883.1","Pver_g11620.t1",142,2.5e-55,226.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11335","XP_027044880.1","Pver_g11621.t1",446,1.4e-261,912.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11336","XP_027044879.1","Pver_g11622.t1",545,5.5e-292,1013.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11337","XP_027044882.1","Pver_g11623.t1",443,3e-219,771.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11338","XP_027044884.1","Pver_g11624.t1",185,1.8e-96,362.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11339","RMX45282.1","Pver_g11625.t1",3700,0,6666.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11340","XP_027044836.1","Pver_g11626.t1",285,2.5e-158,568.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11341","XP_027044805.1","Pver_g11627.t1",425,9.3e-202,713.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11342","XP_027044798.1","Pver_g11628.t1",690,0,1312,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11343","XP_027044843.1","Pver_g11629.t1",483,1.5e-288,1002.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11344","XP_027044809.1","Pver_g11630.t1",765,0,1501.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11345","XP_027044810.1","Pver_g11631.t1",493,3.4e-280,974.5,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11346","XP_027044838.1","Pver_g11632.t1",421,8.2e-238,833.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11347","XP_027044831.1","Pver_g11633.t1",899,0,1545.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11348","XP_027044859.1","Pver_g11634.t1",350,5.3e-164,587.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11349","XP_027044746.1","Pver_g11635.t1",408,1.4e-244,855.9,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11350","XP_027044747.1","Pver_g11636.t1",184,7.8e-105,390.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11351","XP_022803389.1","Pver_g11637.t1",589,7.7e-231,810.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11352","XP_027044748.1","Pver_g11638.t1",1018,0,1965.7,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11353","XP_027044672.1","Pver_g11639.t1",142,1.6e-65,259.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11354","XP_022803368.1","Pver_g11640.t1",532,1e-239,840.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11355","XP_027054502.1","Pver_g11641.t1",481,6.1e-159,571.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11356","RMX45258.1","Pver_g11642.t2",1188,0,1941.8,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11357","XP_022810329.1","Pver_g11643.t1",625,1.4e-240,843.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"11358","XP_022810329.1","Pver_g11644.t1",621,3.5e-247,865.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
