Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434B0W
A0A2B4RY06	A0A2B4RY06_STYPI	unreviewed	PTK7 AWC38_SpisGene14298	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1390	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX21217.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A3M6UI69	A0A3M6UI69_POCDA	unreviewed	pdam_00025053	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	231			RMX53336.1
A0A3M6UFH9	A0A3M6UFH9_POCDA	unreviewed	pdam_00021111	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	E3 ubiquitin-protein ligase TRAF6 (Fragment)	709	cytoplasm [GO:0005737]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	GO:0004842; GO:0005164; GO:0005737; GO:0008270	RMX52385.1
A0A2B4SRX9	A0A2B4SRX9_STYPI	unreviewed	T AWC38_SpisGene4044	Stylophora pistillata (Smooth cauliflower coral)	Transposable element P transposase	1989	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	PFX31145.1
A0A3M6TM49	A0A3M6TM49_POCDA	unreviewed	pdam_00014639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	575			RMX42334.1
A0A3M6U0D0	A0A3M6U0D0_POCDA	unreviewed	pdam_00024071	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	USP domain-containing protein (Fragment)	605	microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; thiol-dependent deubiquitinase [GO:0004843]; protein deubiquitination [GO:0016579]	GO:0004843; GO:0005815; GO:0016579; GO:0048471	RMX47123.1
A0A455UVJ4	A0A455UVJ4_9GAMM	unreviewed	greA HAALTHF_04080n	Halomonas axialensis	Transcription elongation factor GreA (Transcript cleavage factor GreA)	647	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase binding [GO:0070063]; 'de novo' UMP biosynthetic process [GO:0044205]; regulation of DNA-templated transcription, elongation [GO:0032784]	GO:0003677; GO:0004088; GO:0005524; GO:0032784; GO:0044205; GO:0046872; GO:0070063	BBI70420.2
A0A2B4SE93	A0A2B4SE93_STYPI	unreviewed	PRSS12 AWC38_SpisGene6248	Stylophora pistillata (Smooth cauliflower coral)	Neurotrypsin	534	membrane [GO:0016020]; calcium ion binding [GO:0005509]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0005509; GO:0016020	PFX28994.1
A0A3M6TWK4	A0A3M6TWK4_POCDA	unreviewed	pdam_00004195	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	411	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX45770.1
A0A2B4SCC5	A0A2B4SCC5_STYPI	unreviewed	AWC38_SpisGene6942	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	303	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX28334.1
A0A0A2WEB7	A0A0A2WEB7_BEABA	unreviewed	BBAD15_g2759	Beauveria bassiana D1-5	Acyl carrier protein	2325	DNA polymerase III complex [GO:0009360]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; 4-amino-4-deoxychorismate lyase activity [GO:0008696]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; NAD binding [GO:0051287]; pyridoxal phosphate binding [GO:0030170]; thymidylate kinase activity [GO:0004798]; DNA replication [GO:0006260]; dTDP biosynthetic process [GO:0006233]; fatty acid biosynthetic process [GO:0006633]; folic acid biosynthetic process [GO:0046656]	GO:0003677; GO:0003887; GO:0004314; GO:0004315; GO:0004316; GO:0004798; GO:0005524; GO:0006233; GO:0006260; GO:0006633; GO:0008696; GO:0009360; GO:0016888; GO:0030170; GO:0046656; GO:0051287	KGQ11509.1
A0A3M6UZ81	A0A3M6UZ81_POCDA	unreviewed	pdam_00016324	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	151			RMX58899.1
A0A3M6UGY1	A0A3M6UGY1_POCDA	unreviewed	pdam_00016860	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	162			RMX52628.1
A0A2B4SP34	A0A2B4SP34_STYPI	unreviewed	BTN1 AWC38_SpisGene4241	Stylophora pistillata (Smooth cauliflower coral)	Protein BTN1	1379	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	PFX30889.1
A0A3M6TUT9	A0A3M6TUT9_POCDA	unreviewed	pdam_00014035	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA helicase (EC 3.6.4.12)	1434	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	GO:0003676; GO:0005524; GO:0006260; GO:0006281; GO:0006310; GO:0043138	RMX45111.1
A0A3M6UVQ3	A0A3M6UVQ3_POCDA	unreviewed	pdam_00004970	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DALR_1 domain-containing protein	601	cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]	GO:0004814; GO:0005524; GO:0005737; GO:0006420	RMX57715.1
A0A3M6V1F6	A0A3M6V1F6_POCDA	unreviewed	pdam_00015340	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	338	bioluminescence [GO:0008218]	GO:0008218	RMX59755.1
A0A2B4S000	A0A2B4S000_STYPI	unreviewed	AWC38_SpisGene13681	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	400			PFX21822.1
A0A3M6URI8	A0A3M6URI8_POCDA	unreviewed	pdam_00011441	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	969			RMX56270.1
A0A2B4RYX3	A0A2B4RYX3_STYPI	unreviewed	CRNKL1 AWC38_SpisGene11791	Stylophora pistillata (Smooth cauliflower coral)	Crooked neck-like protein 1	683	nucleus [GO:0005634]; mRNA processing [GO:0006397]	GO:0005634; GO:0006397	PFX23654.1
A0A2B4RQ60	A0A2B4RQ60_STYPI	unreviewed	NLRC3 AWC38_SpisGene16663	Stylophora pistillata (Smooth cauliflower coral)	Protein NLRC3	1167			PFX18943.1
A0A3M6UK11	A0A3M6UK11_POCDA	unreviewed	pdam_00014882	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1048	plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005509; GO:0005886; GO:0007155; GO:0007411	RMX53996.1
A0A3M6U8Z4	A0A3M6U8Z4_POCDA	unreviewed	pdam_00025141	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	873			RMX50150.1
A0A081KCN7	A0A081KCN7_9GAMM	unreviewed	GV64_15275	Endozoicomonas elysicola	Pitrilysin (EC 3.4.24.55) (Protease 3) (Protease III) (Protease pi)	961	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0046872	KEI71913.1
A0A433PU58	A0A433PU58_9FUNG	unreviewed	BC937DRAFT_93716	Endogone sp. FLAS-F59071	Uncharacterized protein	521			RUS21080.1
A0A3M6TZT6	A0A3M6TZT6_POCDA	unreviewed	pdam_00025795	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AAA domain-containing protein (Fragment)	786	GTP binding [GO:0005525]	GO:0005525	RMX46804.1
A0A3M6TF20	A0A3M6TF20_POCDA	unreviewed	pdam_00025564	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	136	plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411	RMX39973.1
A0A2B4RFK9	A0A2B4RFK9_STYPI	unreviewed	AWC38_SpisGene18533	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	420	calcium ion binding [GO:0005509]	GO:0005509	PFX17154.1
A0A2B4S5M0	A0A2B4S5M0_STYPI	unreviewed	POGK AWC38_SpisGene11597	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	406	nucleic acid binding [GO:0003676]	GO:0003676	PFX23858.1
A0A2B4R917	A0A2B4R917_STYPI	unreviewed	AWC38_SpisGene22257	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	874	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	GO:0005576; GO:0006869; GO:0008289; GO:0016021; GO:0042157	PFX13646.1
A0A2B4RCG2	A0A2B4RCG2_STYPI	unreviewed	K02A2.6 AWC38_SpisGene20440	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	621	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX15341.1
A0A3M6UEI1	A0A3M6UEI1_POCDA	unreviewed	pdam_00003745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	290			RMX52081.1
A0A3M6U8G5	A0A3M6U8G5_POCDA	unreviewed	pdam_00013936	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	2525	nucleus [GO:0005634]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; protein ADP-ribosylation [GO:0006471]	GO:0003950; GO:0005634; GO:0006471	RMX49965.1
A0A433I971	A0A433I971_9GAMM	unreviewed	EKK71_05645	Candidatus Competibacteraceae bacterium	Uncharacterized protein	890	extracellular region [GO:0005576]; phosphatase activity [GO:0016791]; pathogenesis [GO:0009405]	GO:0005576; GO:0009405; GO:0016791	RUQ37229.1
A0A2B4RJC8	A0A2B4RJC8_STYPI	unreviewed	AWC38_SpisGene19392	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	1451			PFX16342.1
A0A081KC58	A0A081KC58_9GAMM	unreviewed	GV64_14175	Endozoicomonas elysicola	PALP domain-containing protein	332	pyridoxal phosphate binding [GO:0030170]; cellular amino acid metabolic process [GO:0006520]	GO:0006520; GO:0030170	KEI71734.1
A0A3M5WS63	A0A3M5WS63_PSEAP	unreviewed	ALP24_04232	Pseudomonas syringae pv. aptata	ABC transporter periplasmic substrate-binding protein	1623	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085	RMU72495.1
A0A2B4RWY9	A0A2B4RWY9_STYPI	unreviewed	AWC38_SpisGene14233	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	197			PFX21293.1
A0A6A5L2E9	A0A6A5L2E9_LUPAL	unreviewed	Lal_00008964	Lupinus albus (White lupine) (Lupinus termis)	AICAR transformylase (EC 2.1.2.3) (EC 3.5.4.10) (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (IMP synthase) (Inosinicase) (Phosphoribosylaminoimidazolecarboxamide formyltransferase) (Phosphoribosylglycinamide synthetase)	961	ATP binding [GO:0005524]; IMP cyclohydrolase activity [GO:0003937]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]	GO:0003937; GO:0004637; GO:0004643; GO:0005524; GO:0006189; GO:0009113; GO:0046872	KAF1852802.1
A0A2B4S7M4	A0A2B4S7M4_STYPI	unreviewed	AWC38_SpisGene10873	Stylophora pistillata (Smooth cauliflower coral)	Histone H4	304	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; DNA-templated transcription, initiation [GO:0006352]	GO:0000786; GO:0003677; GO:0005634; GO:0006352; GO:0046982	PFX24522.1
A0A2B4RSW8	A0A2B4RSW8_STYPI	unreviewed	Orct AWC38_SpisGene16234	Stylophora pistillata (Smooth cauliflower coral)	Organic cation transporter protein	254	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	PFX19345.1
A0A2B4SJR7	A0A2B4SJR7_STYPI	unreviewed	AWC38_SpisGene5921	Stylophora pistillata (Smooth cauliflower coral)	LRAT domain-containing protein	450	integral component of membrane [GO:0016021]	GO:0016021	PFX29333.1
A0A1D2X7U5	A0A1D2X7U5_9GAMM	unreviewed	ACH42_11940	Endozoicomonas sp. (ex Bugula neritina AB1)	NADP-dependent oxidoreductase	336	oxidoreductase activity [GO:0016491]	GO:0016491	OED42639.1
A0A1D2X7W5	A0A1D2X7W5_9GAMM	unreviewed	ACH42_11945	Endozoicomonas sp. (ex Bugula neritina AB1)	HTH lysR-type domain-containing protein	311	DNA-binding transcription factor activity [GO:0003700]	GO:0003700	OED42640.1
A0A2B4SVZ2	A0A2B4SVZ2_STYPI	unreviewed	Cntnap2 AWC38_SpisGene2058	Stylophora pistillata (Smooth cauliflower coral)	Contactin-associated protein-like 2	467	protein localization to juxtaparanode region of axon [GO:0071205]	GO:0071205	PFX33050.1
A0A3M6UB73	A0A3M6UB73_POCDA	unreviewed	pdam_00003162	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	683	integral component of membrane [GO:0016021]; transferase activity, transferring hexosyl groups [GO:0016758]; protein glycosylation [GO:0006486]	GO:0006486; GO:0016021; GO:0016758	RMX50764.1
A0A2B4R8L6	A0A2B4R8L6_STYPI	unreviewed	GPR133 AWC38_SpisGene23394	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	376	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX12615.1
A0A2B4SLP8	A0A2B4SLP8_STYPI	unreviewed	AWC38_SpisGene5192	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	1035			PFX30003.1
A0A081K9T1	A0A081K9T1_9GAMM	unreviewed	GV64_09265	Endozoicomonas elysicola	Uncharacterized protein	203	integral component of membrane [GO:0016021]	GO:0016021	KEI70907.1
A0A2B4R8R9	A0A2B4R8R9_STYPI	unreviewed	GGT1 AWC38_SpisGene22717	Stylophora pistillata (Smooth cauliflower coral)	Gamma-glutamyltranspeptidase 1	553	integral component of membrane [GO:0016021]; glutathione hydrolase activity [GO:0036374]; glutathione catabolic process [GO:0006751]	GO:0006751; GO:0016021; GO:0036374	PFX13219.1
A0A3M6T6Z2	A0A3M6T6Z2_POCDA	unreviewed	pdam_00016440	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Cyclic nucleotide-binding domain-containing protein (Fragment)	536			RMX37074.1
A0A3M6TPK5	A0A3M6TPK5_POCDA	unreviewed	pdam_00009724	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	456	catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0020037	RMX43188.1
A0A2B4S6Z8	A0A2B4S6Z8_STYPI	unreviewed	Rchy1 AWC38_SpisGene10222	Stylophora pistillata (Smooth cauliflower coral)	RING finger and CHY zinc finger domain-containing protein 1	2902	zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]	GO:0008270; GO:0042981	PFX25156.1
A0A178U7L2	A0A178U7L2_ARATH	unreviewed	AXX17_ATUG04510	Arabidopsis thaliana (Mouse-ear cress)	Uncharacterized protein	1732	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; peptide transport [GO:0015833]	GO:0005524; GO:0015833; GO:0016021; GO:0042626	OAO89092.1
R7UEI0	R7UEI0_CAPTE	unreviewed	CAPTEDRAFT_106359	Capitella teleta (Polychaete worm)	LpxD domain-containing protein	337	N-acyltransferase activity [GO:0016410]; lipid A biosynthetic process [GO:0009245]	GO:0009245; GO:0016410	ELU04481.1
A0A081KD33	A0A081KD33_9GAMM	unreviewed	pstB GV64_16190	Endozoicomonas elysicola	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	281	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415]; inorganic phosphate transmembrane transporter activity [GO:0005315]	GO:0005315; GO:0005524; GO:0005886; GO:0015415	KEI72059.1
A0A081KD66	A0A081KD66_9GAMM	unreviewed	GV64_16360	Endozoicomonas elysicola	Uncharacterized protein	547	integral component of membrane [GO:0016021]	GO:0016021	KEI72092.1
A0A3M6U3J6	A0A3M6U3J6_POCDA	unreviewed	pdam_00005437	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1694	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626	RMX48263.1
A0A3M6U313	A0A3M6U313_POCDA	unreviewed	pdam_00005355	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	698	integral component of membrane [GO:0016021]	GO:0016021	RMX47924.1
A0A2B4RF67	A0A2B4RF67_STYPI	unreviewed	TTC28 AWC38_SpisGene20896	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1076			PFX14912.1
A0A2B4RVF7	A0A2B4RVF7_STYPI	unreviewed	AWC38_SpisGene14995	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	701			PFX20540.1
A0A7J6ZP37	A0A7J6ZP37_9COLE	unreviewed	FQR65_LT14117	Abscondita terminalis	Phosphoenolpyruvate--protein phosphotransferase (EC 2.7.3.9)	1798			KAF5282917.1
A0A699GDT5	A0A699GDT5_TANCI	unreviewed	Tci_000102	Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	Uncharacterized protein	4914			GEU28124.1
A0A3M6ULB3	A0A3M6ULB3_POCDA	unreviewed	pdam_00013187	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein (Fragment)	252	protein localization to juxtaparanode region of axon [GO:0071205]	GO:0071205	RMX54473.1
A0A2B4SE14	A0A2B4SE14_STYPI	unreviewed	AWC38_SpisGene6334	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	211			PFX28914.1
A0A2B4R192	A0A2B4R192_STYPI	unreviewed	NPHP3 AWC38_SpisGene23943	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	807			PFX12144.1
A0A3M6U9H4	A0A3M6U9H4_POCDA	unreviewed	pdam_00002949	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	235	calcium ion binding [GO:0005509]	GO:0005509	RMX50108.1
A0A2B4SDF2	A0A2B4SDF2_STYPI	unreviewed	AWC38_SpisGene8244	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	462			PFX27083.1
W4LAV8	W4LAV8_9BACT	unreviewed	ETSY2_49790	Candidatus Entotheonella gemina	Uncharacterized protein	352			ETW94451.1
A0A7X4D902	A0A7X4D902_9BACT	unreviewed	F4142_11735	Nitrospira sp. SB0675_bin_23	Uncharacterized protein	134			MYH03204.1
A0A2B4RCL3	A0A2B4RCL3_STYPI	unreviewed	AWC38_SpisGene21620	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2298			PFX14240.1
A0A2B4S956	A0A2B4S956_STYPI	unreviewed	AWC38_SpisGene10311	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	495			PFX25072.1
A0A3M6UVN9	A0A3M6UVN9_POCDA	unreviewed	pdam_00004991	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	661	zinc ion binding [GO:0008270]	GO:0008270	RMX57732.1
A0A081KCY2	A0A081KCY2_9GAMM	unreviewed	alaS GV64_15890	Endozoicomonas elysicola	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	873	cytoplasm [GO:0005737]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]	GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270	KEI72008.1
A0A3M6U118	A0A3M6U118_POCDA	unreviewed	pdam_00018747	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	235			RMX47373.1
A0A3M6TWD0	A0A3M6TWD0_POCDA	unreviewed	pdam_00025095	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	605			RMX45682.1
A0A3M6UE96	A0A3M6UE96_POCDA	unreviewed	pdam_00003686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	357	mitochondrial matrix [GO:0005759]	GO:0005759	RMX52013.1
A0A081K6Z2	A0A081K6Z2_9GAMM	unreviewed	GV64_03420	Endozoicomonas elysicola	Uncharacterized protein	832	integral component of membrane [GO:0016021]	GO:0016021	KEI69918.1
A0A3M6TKG9	A0A3M6TKG9_POCDA	unreviewed	pdam_00019618	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	527	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX41859.1
A0A2B4RHZ0	A0A2B4RHZ0_STYPI	unreviewed	K02A2.6 AWC38_SpisGene19647	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	962	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX16100.1
A0A2B4SUH0	A0A2B4SUH0_STYPI	unreviewed	Lmln AWC38_SpisGene2988	Stylophora pistillata (Smooth cauliflower coral)	Leishmanolysin-like peptidase	1090	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; cell adhesion [GO:0007155]	GO:0004222; GO:0007155; GO:0016021; GO:0046872	PFX32202.1
A0A2B4RRZ5	A0A2B4RRZ5_STYPI	unreviewed	UBC AWC38_SpisGene16266	Stylophora pistillata (Smooth cauliflower coral)	Polyubiquitin-C	1030			PFX19320.1
A0A2B4RXD9	A0A2B4RXD9_STYPI	unreviewed	AWC38_SpisGene13688	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	901			PFX21826.1
A0A485LVC3	A0A485LVC3_9STRA	unreviewed	Aste57867_25342 As57867_025264 ASTE57867_25342	Aphanomyces stellatus	Aste57867_25342 protein	440	metal ion binding [GO:0046872]	GO:0046872	KAF0682544.1
A0A2B4T1N6	A0A2B4T1N6_STYPI	unreviewed	RTase AWC38_SpisGene389	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	696	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX34702.1
A0A3M6TH10	A0A3M6TH10_POCDA	unreviewed	pdam_00007483	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ubiquitin-like domain-containing protein	409			RMX40504.1
A0A3M6UMQ1	A0A3M6UMQ1_POCDA	unreviewed	pdam_00012694	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	909	integral component of membrane [GO:0016021]	GO:0016021	RMX54936.1
A0A7J7BT23	A0A7J7BT23_9COLE	unreviewed	coq3 FQR65_LT18267	Abscondita terminalis	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)	662			KAF5308114.1
E4XD57	E4XD57_OIKDI	unreviewed	GSOID_T00008093001	Oikopleura dioica (Tunicate)	Uncharacterized protein	4850	calcium ion binding [GO:0005509]	GO:0005509	CBY24092.1
A0A2B4R2W4	A0A2B4R2W4_STYPI	unreviewed	AWC38_SpisGene23314	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	668			PFX12684.1
A0A2B4R8D3	A0A2B4R8D3_STYPI	unreviewed	nphp3 AWC38_SpisGene23490	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	604			PFX12535.1
A0A3M6TJ24	A0A3M6TJ24_POCDA	unreviewed	pdam_00012361	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Stimulator of interferon genes protein	775	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; cyclic-di-GMP binding [GO:0035438]; activation of innate immune response [GO:0002218]; positive regulation of type I interferon production [GO:0032481]	GO:0002218; GO:0005789; GO:0016021; GO:0032481; GO:0035438	RMX41254.1
A0A3M6T662	A0A3M6T662_POCDA	unreviewed	pdam_00000929	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	285	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	RMX36861.1
R7ULQ3	R7ULQ3_CAPTE	unreviewed	CAPTEDRAFT_197253	Capitella teleta (Polychaete worm)	Uncharacterized protein	197			ELU04207.1
A0A6G5YCP2	A0A6G5YCP2_9VIRU	unreviewed		Bacteriophage sp.	Uncharacterized protein	272			QHJ82424.1
A0A2B4SIY0	A0A2B4SIY0_STYPI	unreviewed	AWC38_SpisGene6130	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	781	ADP binding [GO:0043531]; regulation of apoptotic process [GO:0042981]	GO:0042981; GO:0043531	PFX29079.1
A0A3M6UL07	A0A3M6UL07_POCDA	unreviewed	pdam_00018407	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	107			RMX54357.1
