Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441EC3
A0A3M6UEW6	A0A3M6UEW6_POCDA	unreviewed	pdam_00004731	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	512	cytoplasm [GO:0005737]; signal transduction [GO:0007165]	GO:0005737; GO:0007165	RMX51968.1
A0A3M6UUR5	A0A3M6UUR5_POCDA	unreviewed	pdam_00020588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1733	zinc ion binding [GO:0008270]	GO:0008270	RMX57304.1
A0A3M6TQU4	A0A3M6TQU4_POCDA	unreviewed	pdam_00019749	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1837	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; G protein-coupled receptor activity [GO:0004930]; ionotropic glutamate receptor activity [GO:0004970]	GO:0004930; GO:0004970; GO:0016021; GO:0045211	RMX43785.1
A0A2B4R7S0	A0A2B4R7S0_STYPI	unreviewed	TRIM45 AWC38_SpisGene23740	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 45	613	zinc ion binding [GO:0008270]	GO:0008270	PFX12325.1
A0A3M6TPX8	A0A3M6TPX8_POCDA	unreviewed	pdam_00001966	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Dimer_Tnp_hAT domain-containing protein	423	protein dimerization activity [GO:0046983]	GO:0046983	RMX43473.1
A0A2B4R6Z0	A0A2B4R6Z0_STYPI	unreviewed	TTC28 AWC38_SpisGene23929	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1453			PFX12158.1
A0A3M6TGZ0	A0A3M6TGZ0_POCDA	unreviewed	pdam_00025200	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SWIM-type domain-containing protein	382	zinc ion binding [GO:0008270]	GO:0008270	RMX40608.1
A0A2B4RH60	A0A2B4RH60_STYPI	unreviewed	CCDC180 AWC38_SpisGene19942	Stylophora pistillata (Smooth cauliflower coral)	Coiled-coil domain-containing protein 180	319	integral component of membrane [GO:0016021]	GO:0016021	PFX15820.1
A0A2B4RQF8	A0A2B4RQF8_STYPI	unreviewed	KLHL3 AWC38_SpisGene15738	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 3	1737			PFX19841.1
A0A3M6TDL3	A0A3M6TDL3_POCDA	unreviewed	pdam_00007606	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4589			RMX39463.1
A0A3M6UEG7	A0A3M6UEG7_POCDA	unreviewed	pdam_00003743	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	392	calcium ion binding [GO:0005509]	GO:0005509	RMX52083.1
A0A3M6TA42	A0A3M6TA42_POCDA	unreviewed	pdam_00003349	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1155			RMX38270.1
A0A2B4R822	A0A2B4R822_STYPI	unreviewed	AWC38_SpisGene23366	Stylophora pistillata (Smooth cauliflower coral)	Death domain-containing protein	768	signal transduction [GO:0007165]	GO:0007165	PFX12640.1
A0A2B4R6K7	A0A2B4R6K7_STYPI	unreviewed	nlrc4 AWC38_SpisGene23973	Stylophora pistillata (Smooth cauliflower coral)	NLR family CARD domain-containing protein 4	1426			PFX12120.1
A0A3M6U1X7	A0A3M6U1X7_POCDA	unreviewed	pdam_00013599	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	142	integral component of membrane [GO:0016021]	GO:0016021	RMX47683.1
A0A3M6TN65	A0A3M6TN65_POCDA	unreviewed	pdam_00025677	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	156	integral component of membrane [GO:0016021]	GO:0016021	RMX42820.1
A0A3M6UBT5	A0A3M6UBT5_POCDA	unreviewed	pdam_00020129	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GRANULINS domain-containing protein	156			RMX51101.1
A0A3M6THR8	A0A3M6THR8_POCDA	unreviewed	pdam_00017667	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	398	integral component of membrane [GO:0016021]	GO:0016021	RMX40920.1
A0A3M6TGV7	A0A3M6TGV7_POCDA	unreviewed	pdam_00022778	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VIR_N domain-containing protein	1885	nucleus [GO:0005634]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	GO:0005634; GO:0006397; GO:0008380	RMX40561.1
A0A3M6V2D5	A0A3M6V2D5_POCDA	unreviewed	pdam_00019532	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	659	integral component of membrane [GO:0016021]	GO:0016021	RMX60116.1
A0A2B4S651	A0A2B4S651_STYPI	unreviewed	2 AWC38_SpisGene10872	Stylophora pistillata (Smooth cauliflower coral)	Histone H3	299	nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334; GO:0046982	PFX24523.1
A0A3M6V2K8	A0A3M6V2K8_POCDA	unreviewed	pdam_00019528	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	209	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX60132.1
A0A3M6UN08	A0A3M6UN08_POCDA	unreviewed	pdam_00007240	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	888			RMX55046.1
A0A3M6UZE3	A0A3M6UZE3_POCDA	unreviewed	pdam_00009964	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	800	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX59035.1
A0A3M6UZH4	A0A3M6UZH4_POCDA	unreviewed	pdam_00009956	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DOMON domain-containing protein (Fragment)	1066	copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]	GO:0004500; GO:0005507	RMX59052.1
A0A3M6V0L9	A0A3M6V0L9_POCDA	unreviewed	pdam_00024838	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1614	integral component of membrane [GO:0016021]	GO:0016021	RMX59491.1
A0A2B4SE14	A0A2B4SE14_STYPI	unreviewed	AWC38_SpisGene6334	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	211			PFX28914.1
A0A2B4RII3	A0A2B4RII3_STYPI	unreviewed	nas-13 AWC38_SpisGene19565	Stylophora pistillata (Smooth cauliflower coral)	Metalloendopeptidase (EC 3.4.24.-)	1432	extracellular region [GO:0005576]; membrane [GO:0016020]; nematocyst [GO:0042151]; calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]; cell adhesion [GO:0007155]	GO:0004222; GO:0005509; GO:0005576; GO:0007155; GO:0008270; GO:0016020; GO:0042151; GO:0090729	PFX16178.1
A0A2B4RML3	A0A2B4RML3_STYPI	unreviewed	pol AWC38_SpisGene17222	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	2917	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0004672; GO:0005524	PFX18406.1
A0A3M6TRC3	A0A3M6TRC3_POCDA	unreviewed	pdam_00023748	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	550			RMX43963.1
A0A3M6TC74	A0A3M6TC74_POCDA	unreviewed	pdam_00008188	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	313			RMX38970.1
A0A2B4R9K1	A0A2B4R9K1_STYPI	unreviewed	dus3l AWC38_SpisGene20776	Stylophora pistillata (Smooth cauliflower coral)	tRNA-dihydrouridine(47) synthase [NAD(P)(+)] (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3)	1235	cytoplasm [GO:0005737]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; tRNA dihydrouridine synthase activity [GO:0017150]	GO:0005737; GO:0017150; GO:0046872; GO:0050660	PFX15024.1
A0A2B4RBA6	A0A2B4RBA6_STYPI	unreviewed	AWC38_SpisGene21420	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	728			PFX14416.1
A0A2B4R2U9	A0A2B4R2U9_STYPI	unreviewed	nphp3 AWC38_SpisGene24165	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	868			PFX11951.1
A0A2B4RZJ0	A0A2B4RZJ0_STYPI	unreviewed	F52C9.6 AWC38_SpisGene13519	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F52C9.6	1080			PFX21970.1
A0A2B4RWI1	A0A2B4RWI1_STYPI	unreviewed	AWC38_SpisGene13518	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	265			PFX21971.1
A0A2B4RG49	A0A2B4RG49_STYPI	unreviewed	AWC38_SpisGene19594	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1599	integral component of membrane [GO:0016021]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016021; GO:0016706	PFX16146.1
A0A3M6TQZ1	A0A3M6TQZ1_POCDA	unreviewed	pdam_00017051	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F-box domain-containing protein	663			RMX43812.1
A0A2B4R206	A0A2B4R206_STYPI	unreviewed	Fibcd1 AWC38_SpisGene23677	Stylophora pistillata (Smooth cauliflower coral)	Fibrinogen C domain-containing protein 1	333	integral component of membrane [GO:0016021]	GO:0016021	PFX12384.1
A0A3M6USX0	A0A3M6USX0_POCDA	unreviewed	pdam_00018061	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1261			RMX56776.1
A0A3M6TCL1	A0A3M6TCL1_POCDA	unreviewed	pdam_00008145	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1362			RMX38994.1
A0A3M6TCF6	A0A3M6TCF6_POCDA	unreviewed	pdam_00008152	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	765	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX38989.1
A0A3M6UTF8	A0A3M6UTF8_POCDA	unreviewed	pdam_00021153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1799	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56920.1
A0A3M6UHW3	A0A3M6UHW3_POCDA	unreviewed	pdam_00016520	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	712			RMX53216.1
A0A3M6UHR0	A0A3M6UHR0_POCDA	unreviewed	pdam_00016517	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1437	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX53230.1
A0A3M6UIN6	A0A3M6UIN6_POCDA	unreviewed	pdam_00016515	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	LamGL domain-containing protein	313			RMX53228.1
A0A3M6UHK0	A0A3M6UHK0_POCDA	unreviewed	pdam_00021922	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	888	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX53147.1
A0A3M6UFX0	A0A3M6UFX0_POCDA	unreviewed	pdam_00020798	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HORMA domain-containing protein	221			RMX52542.1
A0A2B4RF47	A0A2B4RF47_STYPI	unreviewed	AWC38_SpisGene20919	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	581	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX14892.1
A0A3M6TZ36	A0A3M6TZ36_POCDA	unreviewed	pdam_00015691	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FA_desaturase domain-containing protein	336	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]; fatty acid biosynthetic process [GO:0006633]	GO:0006633; GO:0016021; GO:0016717; GO:0046872	RMX46715.1
A0A3M6TZB4	A0A3M6TZB4_POCDA	unreviewed	pdam_00015697	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	252			RMX46717.1
A0A3M6TZA0	A0A3M6TZA0_POCDA	unreviewed	pdam_00015698	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Anaphase-promoting complex subunit 13 (Cyclosome subunit 13)	115	anaphase-promoting complex [GO:0005680]; cell cycle [GO:0007049]	GO:0005680; GO:0007049	RMX46712.1
A0A3M6TH19	A0A3M6TH19_POCDA	unreviewed	pdam_00025597	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PHD-type domain-containing protein	387	metal ion binding [GO:0046872]	GO:0046872	RMX40712.1
A0A3M6TI02	A0A3M6TI02_POCDA	unreviewed	pdam_00023757	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	158			RMX40939.1
A0A3M6U9W2	A0A3M6U9W2_POCDA	unreviewed	pdam_00022727	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	563	signal transduction [GO:0007165]	GO:0007165	RMX50376.1
A0A3M6UYA8	A0A3M6UYA8_POCDA	unreviewed	pdam_00017966	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2863	extracellular region [GO:0005576]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005576; GO:0005886; GO:0007156	RMX58652.1
A0A3M6UYB2	A0A3M6UYB2_POCDA	unreviewed	pdam_00017970	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CNH domain-containing protein	826	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0006886; GO:0016192	RMX58655.1
A0A3M6TSW4	A0A3M6TSW4_POCDA	unreviewed	pdam_00018134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	726			RMX44547.1
A0A3M6UB79	A0A3M6UB79_POCDA	unreviewed	pdam_00017548	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	536	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411; GO:0016021	RMX50937.1
A0A3M6URI6	A0A3M6URI6_POCDA	unreviewed	pdam_00022635	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	315			RMX56174.1
A0A2B4RYK4	A0A2B4RYK4_STYPI	unreviewed	Cml2 AWC38_SpisGene12739	Stylophora pistillata (Smooth cauliflower coral)	Putative N-acetyltransferase CML2	291	integral component of membrane [GO:0016021]; N-acetyltransferase activity [GO:0008080]	GO:0008080; GO:0016021	PFX22711.1
A0A3M6TUC9	A0A3M6TUC9_POCDA	unreviewed	pdam_00017090	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	502	integral component of membrane [GO:0016021]; N-acetyltransferase activity [GO:0008080]	GO:0008080; GO:0016021	RMX44941.1
A0A3M6UI55	A0A3M6UI55_POCDA	unreviewed	pdam_00018684	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	385			RMX53347.1
A0A2B4RIK5	A0A2B4RIK5_STYPI	unreviewed	AWC38_SpisGene17417	Stylophora pistillata (Smooth cauliflower coral)	Putative serine/threonine-protein kinase/receptor	1911	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	PFX18224.1
A0A3M6TS69	A0A3M6TS69_POCDA	unreviewed	pdam_00002504	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1000			RMX44094.1
A0A2B4RJE5	A0A2B4RJE5_STYPI	unreviewed	2 AWC38_SpisGene18765	Stylophora pistillata (Smooth cauliflower coral)	Histone H2A	89	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005634; GO:0046982	PFX16939.1
A0A3M6TRT6	A0A3M6TRT6_POCDA	unreviewed	pdam_00002500	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	544	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270	RMX44090.1
A0A3M6TS91	A0A3M6TS91_POCDA	unreviewed	pdam_00002484	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	1143	integral component of membrane [GO:0016021]	GO:0016021	RMX44138.1
A0A3M6UZ31	A0A3M6UZ31_POCDA	unreviewed	pdam_00026062	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	159			RMX58880.1
A0A3M6TCJ4	A0A3M6TCJ4_POCDA	unreviewed	pdam_00021856	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	USP domain-containing protein	958	thiol-dependent deubiquitinase [GO:0004843]; protein deubiquitination [GO:0016579]	GO:0004843; GO:0016579	RMX39038.1
A0A3M6TCB0	A0A3M6TCB0_POCDA	unreviewed	pdam_00021865	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein (Fragment)	428	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX39032.1
A0A3M6TYQ8	A0A3M6TYQ8_POCDA	unreviewed	pdam_00018717	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	363			RMX46527.1
A0A3M6TYE0	A0A3M6TYE0_POCDA	unreviewed	pdam_00000715	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	73			RMX46400.1
A0A3M6TTR9	A0A3M6TTR9_POCDA	unreviewed	pdam_00012725	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	471	zinc ion binding [GO:0008270]	GO:0008270	RMX44719.1
A0A3M6UMB7	A0A3M6UMB7_POCDA	unreviewed	pdam_00024152	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	147			RMX54498.1
A0A3M6UMT8	A0A3M6UMT8_POCDA	unreviewed	pdam_00020780	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1098	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	RMX55007.1
A0A2B4SPH9	A0A2B4SPH9_STYPI	unreviewed	pkn2 AWC38_SpisGene4857	Stylophora pistillata (Smooth cauliflower coral)	Protein kinase C (EC 2.7.11.13)	1508	nucleus [GO:0005634]; ATP binding [GO:0005524]; calcium-dependent protein kinase C activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	GO:0004698; GO:0005524; GO:0005634; GO:0007165; GO:0031267; GO:0106310; GO:0106311	PFX30397.1
A0A3M6TID6	A0A3M6TID6_POCDA	unreviewed	pdam_00019199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	365	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX41183.1
A0A3M6TIM3	A0A3M6TIM3_POCDA	unreviewed	pdam_00019201	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	627			RMX41181.1
A0A2B4SPP2	A0A2B4SPP2_STYPI	unreviewed	AWC38_SpisGene4868	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	296	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0016787; GO:0046872	PFX30345.1
A0A3M6TJE4	A0A3M6TJE4_POCDA	unreviewed	pdam_00021715	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	627			RMX41466.1
A0A3M6V609	A0A3M6V609_POCDA	unreviewed	pdam_00007555	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	278			RMX61028.1
A0A3M6V4Z5	A0A3M6V4Z5_POCDA	unreviewed	pdam_00007559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	4834	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; protein kinase activity [GO:0004672]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0004672; GO:0004930; GO:0005524; GO:0005886; GO:0007399; GO:0008201; GO:0016021; GO:0030154	RMX61033.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
A0A2B4R604	A0A2B4R604_STYPI	unreviewed	Lrrc3 AWC38_SpisGene24455	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein 3 (Fragment)	295			PFX11715.1
A0A3M6UPE3	A0A3M6UPE3_POCDA	unreviewed	pdam_00020559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	816			RMX55502.1
A0A2B4R7P0	A0A2B4R7P0_STYPI	unreviewed	Ncam1 AWC38_SpisGene23126	Stylophora pistillata (Smooth cauliflower coral)	Neural cell adhesion molecule 1	1906	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12849.1
A0A3M6UG68	A0A3M6UG68_POCDA	unreviewed	pdam_00022934	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TIR domain-containing protein	487	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	GO:0002224; GO:0004888; GO:0006955; GO:0016021	RMX52645.1
A0A2B4RPQ3	A0A2B4RPQ3_STYPI	unreviewed	Cad96Ca AWC38_SpisGene16831	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1499	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; scavenger receptor activity [GO:0005044]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0004714; GO:0005044; GO:0005524; GO:0005886; GO:0007155; GO:0007411; GO:0016021	PFX18779.1
A0A3M6TM49	A0A3M6TM49_POCDA	unreviewed	pdam_00014639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	575			RMX42334.1
A0A3M6TFM8	A0A3M6TFM8_POCDA	unreviewed	pdam_00016547	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	256	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003677; GO:0006355; GO:0046983	RMX40216.1
A0A3M6TFP6	A0A3M6TFP6_POCDA	unreviewed	pdam_00016544	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glutamine--fructose-6-phosphate transaminase (isomerizing) (EC 2.6.1.16)	737	carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]; glutamine metabolic process [GO:0006541]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	GO:0004360; GO:0006048; GO:0006541; GO:0097367	RMX40213.1
A0A3M6TGL5	A0A3M6TGL5_POCDA	unreviewed	pdam_00007522	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BRICHOS domain-containing protein (Fragment)	199			RMX40510.1
A0A2B4RKX7	A0A2B4RKX7_STYPI	unreviewed	AWC38_SpisGene17384	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	929	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	PFX18261.1
A0A2B4SBL1	A0A2B4SBL1_STYPI	unreviewed	AWC38_SpisGene9089	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	600			PFX26210.1
A0A3M6T4G2	A0A3M6T4G2_POCDA	unreviewed	pdam_00021146	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	183			RMX34539.1
A0A2B4RA44	A0A2B4RA44_STYPI	unreviewed	Tf2-9 AWC38_SpisGene22212	Stylophora pistillata (Smooth cauliflower coral)	Reverse transcriptase	1017	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0008270; GO:0015074	PFX13683.1
A0A3M6U0B8	A0A3M6U0B8_POCDA	unreviewed	pdam_00023287	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	583	regulation of apoptotic process [GO:0042981]	GO:0042981	RMX47092.1
A0A2B4RG22	A0A2B4RG22_STYPI	unreviewed	AWC38_SpisGene20577	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	708			PFX15212.1
A0A2B4RKC5	A0A2B4RKC5_STYPI	unreviewed	PEX7 AWC38_SpisGene18057	Stylophora pistillata (Smooth cauliflower coral)	Peroxin-7	849	peroxisome [GO:0005777]; metal ion binding [GO:0046872]; peroxisome matrix targeting signal-2 binding [GO:0005053]; protein import into peroxisome matrix [GO:0016558]	GO:0005053; GO:0005777; GO:0016558; GO:0046872	PFX17626.1
A0A3M6UMC8	A0A3M6UMC8_POCDA	unreviewed	pdam_00022540	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	120			RMX54816.1
A0A369TF49	A0A369TF49_9RHOB	unreviewed	DU478_22560	Thalassococcus profundi	Uncharacterized protein (Fragment)	208			RDD63991.1
A0A3M6UMQ1	A0A3M6UMQ1_POCDA	unreviewed	pdam_00012694	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	909	integral component of membrane [GO:0016021]	GO:0016021	RMX54936.1
A0A3M6UJV2	A0A3M6UJV2_POCDA	unreviewed	pdam_00010702	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	318	RNA binding [GO:0003723]	GO:0003723	RMX53927.1
