Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240168N
A0A3M6TRF1	A0A3M6TRF1_POCDA	unreviewed	pdam_00023819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	326	integral component of membrane [GO:0016021]; apoptotic process [GO:0006915]; signal transduction [GO:0007165]	GO:0006915; GO:0007165; GO:0016021	RMX43997.1
A0A3M6T914	A0A3M6T914_POCDA	unreviewed	pdam_00007101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	743			RMX37887.1
A0A3M6TPR0	A0A3M6TPR0_POCDA	unreviewed	pdam_00022677	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	216			RMX43407.1
A0A3M6TPQ6	A0A3M6TPQ6_POCDA	unreviewed	pdam_00022678	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	395	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263	RMX43405.1
A0A2B4SSV0	A0A2B4SSV0_STYPI	unreviewed	Cntnap2 AWC38_SpisGene2052	Stylophora pistillata (Smooth cauliflower coral)	Contactin-associated protein-like 2	1189	extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0005201; GO:0046872; GO:0071205	PFX32991.1
A0A3M6U5M9	A0A3M6U5M9_POCDA	unreviewed	pdam_00001515	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	232			RMX48778.1
A0A3M6UFA1	A0A3M6UFA1_POCDA	unreviewed	pdam_00007919	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	224	integral component of membrane [GO:0016021]	GO:0016021	RMX52276.1
A0A3M6V425	A0A3M6V425_POCDA	unreviewed	pdam_00025944	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein (Fragment)	415			RMX60675.1
A0A3M6TEA8	A0A3M6TEA8_POCDA	unreviewed	pdam_00008083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	245			RMX39703.1
A0A3M6TDC4	A0A3M6TDC4_POCDA	unreviewed	pdam_00005984	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	428	integral component of membrane [GO:0016021]	GO:0016021	RMX39373.1
A0A2B4R9B9	A0A2B4R9B9_STYPI	unreviewed	AWC38_SpisGene22515	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	882	integral component of membrane [GO:0016021]	GO:0016021	PFX13399.1
A0A2B4R7B3	A0A2B4R7B3_STYPI	unreviewed	AWC38_SpisGene22375	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	1379			PFX13531.1
A0A3M6TWK4	A0A3M6TWK4_POCDA	unreviewed	pdam_00004195	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	411	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX45770.1
A0A2B4RYT6	A0A2B4RYT6_STYPI	unreviewed	ZMYM1 AWC38_SpisGene13516	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger MYM-type protein 1	446			PFX21969.1
A0A3M6U6K7	A0A3M6U6K7_POCDA	unreviewed	pdam_00003931	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	133	integral component of membrane [GO:0016021]	GO:0016021	RMX49098.1
A0A3M6TWE5	A0A3M6TWE5_POCDA	unreviewed	pdam_00004122	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	180			RMX45745.1
A0A3M6U7J6	A0A3M6U7J6_POCDA	unreviewed	pdam_00023593	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Guanylate cyclase (EC 4.6.1.2)	1056	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	GO:0004383; GO:0004672; GO:0005524; GO:0016021; GO:0035556	RMX49566.1
A0A3M6TH01	A0A3M6TH01_POCDA	unreviewed	pdam_00025283	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	345	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	RMX40676.1
A0A3M6V675	A0A3M6V675_POCDA	unreviewed	pdam_00017420	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment)	362	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX61422.1
A0A3M6UG06	A0A3M6UG06_POCDA	unreviewed	pdam_00021331	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1523	integral component of membrane [GO:0016021]	GO:0016021	RMX52593.1
A0A3M6UWQ2	A0A3M6UWQ2_POCDA	unreviewed	pdam_00025318	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1706	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX58102.1
A0A2B4RVF7	A0A2B4RVF7_STYPI	unreviewed	AWC38_SpisGene14995	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	701			PFX20540.1
A0A2B4R8Q2	A0A2B4R8Q2_STYPI	unreviewed	AWC38_SpisGene23343	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1851			PFX12655.1
A0A3M6TMU8	A0A3M6TMU8_POCDA	unreviewed	pdam_00010280	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	207	integral component of membrane [GO:0016021]	GO:0016021	RMX42641.1
A0A3M6UH22	A0A3M6UH22_POCDA	unreviewed	pdam_00024065	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	343			RMX52967.1
A0A2B4RVM4	A0A2B4RVM4_STYPI	unreviewed	PHF14 AWC38_SpisGene14945	Stylophora pistillata (Smooth cauliflower coral)	PHD finger protein 14	767	metal ion binding [GO:0046872]	GO:0046872	PFX20610.1
A0A3M6U1K4	A0A3M6U1K4_POCDA	unreviewed	pdam_00018659	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	685			RMX47563.1
A0A3M6TUX6	A0A3M6TUX6_POCDA	unreviewed	pdam_00021089	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Calx-beta domain-containing protein	438	integral component of membrane [GO:0016021]; cell communication [GO:0007154]	GO:0007154; GO:0016021	RMX45202.1
A0A3M6V4S5	A0A3M6V4S5_POCDA	unreviewed	pdam_00024083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	327	integral component of membrane [GO:0016021]	GO:0016021	RMX60973.1
A0A2B4SF63	A0A2B4SF63_STYPI	unreviewed	AWC38_SpisGene6805	Stylophora pistillata (Smooth cauliflower coral)	Integrase_H2C2 domain-containing protein	1303			PFX28501.1
A0A3M6T921	A0A3M6T921_POCDA	unreviewed	pdam_00024251	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	262			RMX37833.1
A0A3M6UKB5	A0A3M6UKB5_POCDA	unreviewed	pdam_00013163	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	429	microtubule organizing center [GO:0005815]	GO:0005815	RMX54072.1
A0A2B4SX36	A0A2B4SX36_STYPI	unreviewed	AWC38_SpisGene1449	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	463			PFX33749.1
A0A3M6URR6	A0A3M6URR6_POCDA	unreviewed	pdam_00011468	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	450	homogentisate 1,2-dioxygenase activity [GO:0004411]; metal ion binding [GO:0046872]; L-phenylalanine catabolic process [GO:0006559]; tyrosine metabolic process [GO:0006570]	GO:0004411; GO:0006559; GO:0006570; GO:0046872	RMX56289.1
A0A3M6TYH7	A0A3M6TYH7_POCDA	unreviewed	pdam_00000503	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	307			RMX46354.1
A0A3M6TSS8	A0A3M6TSS8_POCDA	unreviewed	pdam_00024370	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	756			RMX44294.1
A0A3M6TI01	A0A3M6TI01_POCDA	unreviewed	pdam_00011563	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrase catalytic domain-containing protein	1819	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RMX41025.1
A0A3M6U3V2	A0A3M6U3V2_POCDA	unreviewed	pdam_00014744	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	375			RMX48281.1
A0A3M6T843	A0A3M6T843_POCDA	unreviewed	pdam_00019640	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	917	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX37542.1
A0A2B4SHY6	A0A2B4SHY6_STYPI	unreviewed	AWC38_SpisGene6588	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	821	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX28729.1
A0A3M6V696	A0A3M6V696_POCDA	unreviewed	pdam_00018302	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1129			RMX61389.1
A0A2B4SXY7	A0A2B4SXY7_STYPI	unreviewed	AWC38_SpisGene1799	Stylophora pistillata (Smooth cauliflower coral)	OTU domain-containing protein	1085			PFX33287.1
A0A3M6USW1	A0A3M6USW1_POCDA	unreviewed	pdam_00018053	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	1591	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX56783.1
A0A2B4RIJ0	A0A2B4RIJ0_STYPI	unreviewed	NLRP5 AWC38_SpisGene19095	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 5	1560	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	PFX16629.1
A0A3M6UBC7	A0A3M6UBC7_POCDA	unreviewed	pdam_00023081	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	189			RMX50960.1
A0A3M6UVF0	A0A3M6UVF0_POCDA	unreviewed	pdam_00015749	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	898	nucleic acid binding [GO:0003676]	GO:0003676	RMX57600.1
A0A3M6UNC4	A0A3M6UNC4_POCDA	unreviewed	pdam_00018934	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	188			RMX55166.1
A0A3M6UNR5	A0A3M6UNR5_POCDA	unreviewed	pdam_00018932	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	654	metalloaminopeptidase activity [GO:0070006]	GO:0070006	RMX55174.1
A0A2B4RAW8	A0A2B4RAW8_STYPI	unreviewed	AWC38_SpisGene22250	Stylophora pistillata (Smooth cauliflower coral)	ANK_REP_REGION domain-containing protein (Fragment)	1177			PFX13650.1
A0A2B4RCE2	A0A2B4RCE2_STYPI	unreviewed	RTase AWC38_SpisGene21962	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	394	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX13922.1
A0A3M6V010	A0A3M6V010_POCDA	unreviewed	pdam_00005676	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	324			RMX59252.1
A0A3M6UPZ6	A0A3M6UPZ6_POCDA	unreviewed	pdam_00024153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein (Fragment)	1185	nucleotide binding [GO:0000166]	GO:0000166	RMX55428.1
A0A3M6TZ73	A0A3M6TZ73_POCDA	unreviewed	pdam_00019054	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	570			RMX46661.1
A0A2B4S1X4	A0A2B4S1X4_STYPI	unreviewed	Pol AWC38_SpisGene12910	Stylophora pistillata (Smooth cauliflower coral)	LINE-1 retrotransposable element ORF2 protein	354			PFX22577.1
A0A2B4RLR5	A0A2B4RLR5_STYPI	unreviewed	AWC38_SpisGene17898	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	120	integral component of membrane [GO:0016021]	GO:0016021	PFX17763.1
A0A3M6V7P7	A0A3M6V7P7_POCDA	unreviewed	pdam_00017431	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (EC 2.5.1.15) (EC 2.7.6.3) (Dihydropteroate synthase)	468	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydroneopterin aldolase activity [GO:0004150]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	GO:0003848; GO:0004150; GO:0004156; GO:0005524; GO:0016301; GO:0046654; GO:0046656	RMX61424.1
A0A2B4S9M7	A0A2B4S9M7_STYPI	unreviewed	Btbd6 AWC38_SpisGene7967	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein 6	775	cytoplasm [GO:0005737]	GO:0005737	PFX27354.1
A0A3M6TV65	A0A3M6TV65_POCDA	unreviewed	pdam_00022783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	263			RMX45154.1
A0A3M6V2B6	A0A3M6V2B6_POCDA	unreviewed	pdam_00026027	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein (Fragment)	146			RMX59708.1
A0A3M6TYP3	A0A3M6TYP3_POCDA	unreviewed	pdam_00018718	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PKS_ER domain-containing protein	282	oxidoreductase activity [GO:0016491]	GO:0016491	RMX46520.1
A0A3M6TYP8	A0A3M6TYP8_POCDA	unreviewed	pdam_00018720	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	438	integral component of membrane [GO:0016021]	GO:0016021	RMX46512.1
A0A3M6TRD4	A0A3M6TRD4_POCDA	unreviewed	pdam_00024314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	741	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX43965.1
A0A2B4SVE9	A0A2B4SVE9_STYPI	unreviewed	K02A2.6 AWC38_SpisGene2017	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	950	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX33159.1
A0A2B4RBS1	A0A2B4RBS1_STYPI	unreviewed	AWC38_SpisGene22225	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	144			PFX13672.1
A0A3M6V8H5	A0A3M6V8H5_POCDA	unreviewed	pdam_00023465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1289	calcium ion binding [GO:0005509]	GO:0005509	RMX61338.1
A0A2B4S4T8	A0A2B4S4T8_STYPI	unreviewed	AWC38_SpisGene11333	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	763	calcium ion binding [GO:0005509]	GO:0005509	PFX24063.1
A0A3M6TEI4	A0A3M6TEI4_POCDA	unreviewed	pdam_00007115	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	389			RMX39806.1
A0A3M6U5H5	A0A3M6U5H5_POCDA	unreviewed	pdam_00008339	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	505			RMX48933.1
A0A2B4SDS3	A0A2B4SDS3_STYPI	unreviewed	G2E3 AWC38_SpisGene8362	Stylophora pistillata (Smooth cauliflower coral)	G2/M phase-specific E3 ubiquitin-protein ligase	622	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	PFX26970.1
A0A2B4RHA1	A0A2B4RHA1_STYPI	unreviewed	Ryncolin-1 AWC38_SpisGene20041	Stylophora pistillata (Smooth cauliflower coral)	Ryncolin-1	1079	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX15727.1
A0A2B4RBN9	A0A2B4RBN9_STYPI	unreviewed	AWC38_SpisGene20728	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	681	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX15071.1
A0A3M6V0C7	A0A3M6V0C7_POCDA	unreviewed	pdam_00005680	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	494	metal ion binding [GO:0046872]	GO:0046872	RMX59224.1
A0A2B4R7C9	A0A2B4R7C9_STYPI	unreviewed	HMCN1 AWC38_SpisGene23262	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	1000	integral component of membrane [GO:0016021]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016021	PFX12729.1
A0A2B4SLU3	A0A2B4SLU3_STYPI	unreviewed	THAP6 AWC38_SpisGene5151	Stylophora pistillata (Smooth cauliflower coral)	THAP domain-containing protein 6	491	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX30043.1
A0A2B4SQW8	A0A2B4SQW8_STYPI	unreviewed	nphp3 AWC38_SpisGene3677	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1303	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX31463.1
A0A2B4SUR9	A0A2B4SUR9_STYPI	unreviewed	Taar7h AWC38_SpisGene2843	Stylophora pistillata (Smooth cauliflower coral)	Trace amine-associated receptor 7h	755	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX32302.1
A0A3M6V0X9	A0A3M6V0X9_POCDA	unreviewed	pdam_00003659	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1135	centriole [GO:0005814]; synapse [GO:0045202]; chemical synaptic transmission [GO:0007268]; cilium assembly [GO:0060271]; mitochondrion organization [GO:0007005]	GO:0005814; GO:0007005; GO:0007268; GO:0045202; GO:0060271	RMX59540.1
A0A2B4SDM5	A0A2B4SDM5_STYPI	unreviewed	AWC38_SpisGene6480	Stylophora pistillata (Smooth cauliflower coral)	Putative methyltransferase-like C25B8.10	325	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	PFX28774.1
A0A2B4RW12	A0A2B4RW12_STYPI	unreviewed	AWC38_SpisGene15012	Stylophora pistillata (Smooth cauliflower coral)	Integrase catalytic domain-containing protein	1593	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX20527.1
A0A3M6UJE8	A0A3M6UJE8_POCDA	unreviewed	pdam_00017083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	513			RMX53488.1
A0A3M6UIV3	A0A3M6UIV3_POCDA	unreviewed	pdam_00017084	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	897	integral component of membrane [GO:0016021]	GO:0016021	RMX53489.1
A0A3M6TA73	A0A3M6TA73_POCDA	unreviewed	pdam_00024375	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	225			RMX38285.1
A0A2B4RDR5	A0A2B4RDR5_STYPI	unreviewed	AWC38_SpisGene21341	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	766	integral component of membrane [GO:0016021]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; G protein-coupled receptor activity [GO:0004930]; methyltransferase activity [GO:0008168]	GO:0004930; GO:0008168; GO:0016021; GO:0016706	PFX14497.1
A0A2B4RCL3	A0A2B4RCL3_STYPI	unreviewed	AWC38_SpisGene21620	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2298			PFX14240.1
A0A3M6UFT1	A0A3M6UFT1_POCDA	unreviewed	pdam_00013790	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C2 domain-containing protein	990	calcium-dependent phospholipid binding [GO:0005544]	GO:0005544	RMX52476.1
A0A2B4RNS3	A0A2B4RNS3_STYPI	unreviewed	MFGE8 AWC38_SpisGene17176	Stylophora pistillata (Smooth cauliflower coral)	Lactadherin	3253	integral component of membrane [GO:0016021]	GO:0016021	PFX18453.1
A0A3M6V1F6	A0A3M6V1F6_POCDA	unreviewed	pdam_00015340	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	338	bioluminescence [GO:0008218]	GO:0008218	RMX59755.1
A0A553PST5	A0A553PST5_TIGCA	unreviewed	TCAL_15404	Tigriopus californicus (Marine copepod)	Uncharacterized protein	286			TRY80743.1
A0A3M6TE26	A0A3M6TE26_POCDA	unreviewed	pdam_00020819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	446	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX39581.1
A0A3M6TCU5	A0A3M6TCU5_POCDA	unreviewed	pdam_00016199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2188	metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]	GO:0003950; GO:0046872	RMX39226.1
A0A3M6TIU8	A0A3M6TIU8_POCDA	unreviewed	pdam_00024043	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1401			RMX41198.1
A0A2B4RZD6	A0A2B4RZD6_STYPI	unreviewed	EDIL3 AWC38_SpisGene13909	Stylophora pistillata (Smooth cauliflower coral)	EGF-like repeat and discoidin I-like domain-containing protein 3	1190			PFX21602.1
A0A3M6V0I1	A0A3M6V0I1_POCDA	unreviewed	pdam_00025451	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	656			RMX59443.1
A0A3M6T482	A0A3M6T482_POCDA	unreviewed	pdam_00024214	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2095	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX35108.1
A0A3M6TY13	A0A3M6TY13_POCDA	unreviewed	pdam_00018142	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	703	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	RMX46231.1
A0A3M6U1H3	A0A3M6U1H3_POCDA	unreviewed	pdam_00018744	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	186			RMX47374.1
A0A3M6UPK9	A0A3M6UPK9_POCDA	unreviewed	pdam_00001725	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	3138	NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]	GO:0003723; GO:0003950	RMX55570.1
A0A3M6TRY6	A0A3M6TRY6_POCDA	unreviewed	pdam_00023855	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	264			RMX44207.1
A0A3M6UD72	A0A3M6UD72_POCDA	unreviewed	pdam_00025783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	234			RMX51516.1
A0A3M6UQ18	A0A3M6UQ18_POCDA	unreviewed	pdam_00024424	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	111			RMX55777.1
A0A3M6UUM9	A0A3M6UUM9_POCDA	unreviewed	pdam_00023481	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1489	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX57396.1
A0A2B4R8E3	A0A2B4R8E3_STYPI	unreviewed	CFDP2 AWC38_SpisGene23355	Stylophora pistillata (Smooth cauliflower coral)	Craniofacial development protein 2	1134			PFX12648.1
A0A3M6V649	A0A3M6V649_POCDA	unreviewed	pdam_00024250	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	XK-related protein	619	integral component of membrane [GO:0016021]	GO:0016021	RMX61351.1
A0A2B4RYI7	A0A2B4RYI7_STYPI	unreviewed	RTase AWC38_SpisGene14194	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	321	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX21315.1
A0A2B4S0N4	A0A2B4S0N4_STYPI	unreviewed	K02A2.6 AWC38_SpisGene12884	Stylophora pistillata (Smooth cauliflower coral)	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-)	1301	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; S-adenosyl-L-methionine binding [GO:1904047]; transferase activity [GO:0016740]; DNA integration [GO:0015074]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	GO:0000455; GO:0003676; GO:0005737; GO:0015074; GO:0016740; GO:1904047	PFX22609.1
A0A3M6UD88	A0A3M6UD88_POCDA	unreviewed	pdam_00025355	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	825			RMX51640.1
A0A3M6UFT0	A0A3M6UFT0_POCDA	unreviewed	pdam_00021776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	166			RMX52502.1
A0A3M6V2X2	A0A3M6V2X2_POCDA	unreviewed	pdam_00025959	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MULE domain-containing protein	311			RMX60237.1
A0A3M6UPL7	A0A3M6UPL7_POCDA	unreviewed	pdam_00001728	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	683	integral component of membrane [GO:0016021]	GO:0016021	RMX55565.1
A0A2B4RZS3	A0A2B4RZS3_STYPI	unreviewed	AWC38_SpisGene13206	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	861			PFX22299.1
A0A3M6TI56	A0A3M6TI56_POCDA	unreviewed	pdam_00023063	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1621	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX40948.1
A0A3M6TEF2	A0A3M6TEF2_POCDA	unreviewed	pdam_00008058	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	993			RMX39689.1
