Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441782
A0A2B4RI21	A0A2B4RI21_STYPI	unreviewed	CMD1 AWC38_SpisGene19610	Stylophora pistillata (Smooth cauliflower coral)	Calmodulin	538			PFX16130.1
A0A3M6TAA1	A0A3M6TAA1_POCDA	unreviewed	pdam_00003321	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	723	integral component of membrane [GO:0016021]; taste receptor activity [GO:0008527]	GO:0008527; GO:0016021	RMX38251.1
A0A3M6TFV1	A0A3M6TFV1_POCDA	unreviewed	pdam_00014356	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	212			RMX40250.1
A0A3M6TGA7	A0A3M6TGA7_POCDA	unreviewed	pdam_00014352	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	261			RMX40254.1
A0A3M6V462	A0A3M6V462_POCDA	unreviewed	pdam_00006788	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	377	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX60711.1
A0A3M6V480	A0A3M6V480_POCDA	unreviewed	pdam_00006792	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Alpha-mannosidase (EC 3.2.1.24)	1559	integral component of membrane [GO:0016021]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]	GO:0004559; GO:0004930; GO:0006013; GO:0016021; GO:0030246; GO:0046872	RMX60731.1
A0A3M6V460	A0A3M6V460_POCDA	unreviewed	pdam_00006793	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	627	integral component of membrane [GO:0016021]	GO:0016021	RMX60732.1
A0A3M6TR79	A0A3M6TR79_POCDA	unreviewed	pdam_00021066	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	STAS domain-containing protein	723	integral component of membrane [GO:0016021]; secondary active sulfate transmembrane transporter activity [GO:0008271]	GO:0008271; GO:0016021	RMX43880.1
A0A2B4SY12	A0A2B4SY12_STYPI	unreviewed	AWC38_SpisGene1735	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	390	toxin activity [GO:0090729]	GO:0090729	PFX33448.1
A0A3M6TRN3	A0A3M6TRN3_POCDA	unreviewed	pdam_00023377	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin light chain	541	cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005737; GO:0005871; GO:0005874	RMX44001.1
A0A3M6UZ63	A0A3M6UZ63_POCDA	unreviewed	pdam_00014621	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Annexin	554	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]	GO:0005509; GO:0005544	RMX58952.1
A0A3M6UZ62	A0A3M6UZ62_POCDA	unreviewed	pdam_00016335	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	865	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX58907.1
A0A2B4R3D2	A0A2B4R3D2_STYPI	unreviewed	AWC38_SpisGene24529	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	613			PFX11656.1
A0A2B4SAU9	A0A2B4SAU9_STYPI	unreviewed	slc17a7 AWC38_SpisGene9646	Stylophora pistillata (Smooth cauliflower coral)	Vesicular glutamate transporter 1	850	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; transmembrane transporter activity [GO:0022857]	GO:0004930; GO:0016021; GO:0022857	PFX25698.1
A0A3M6UYS2	A0A3M6UYS2_POCDA	unreviewed	pdam_00012876	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	343			RMX58815.1
A0A3M6UZ01	A0A3M6UZ01_POCDA	unreviewed	pdam_00012889	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	846	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	GO:0005576; GO:0016021	RMX58819.1
A0A3M6UYR4	A0A3M6UYR4_POCDA	unreviewed	pdam_00012890	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	925	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX58805.1
A0A3M6UYV7	A0A3M6UYV7_POCDA	unreviewed	pdam_00012892	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-)	716	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270	RMX58807.1
A0A3M6UYP7	A0A3M6UYP7_POCDA	unreviewed	pdam_00012894	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	801	metal ion binding [GO:0046872]; superoxide metabolic process [GO:0006801]	GO:0006801; GO:0046872	RMX58801.1
A0A3M6TTU3	A0A3M6TTU3_POCDA	unreviewed	pdam_00009293	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	6002	lipid transporter activity [GO:0005319]; nutrient reservoir activity [GO:0045735]	GO:0005319; GO:0045735	RMX44832.1
A0A3M6TTW8	A0A3M6TTW8_POCDA	unreviewed	pdam_00009287	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	311	integral component of membrane [GO:0016021]	GO:0016021	RMX44852.1
A0A2B4RSH4	A0A2B4RSH4_STYPI	unreviewed	Cad96Ca AWC38_SpisGene16373	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1603	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX19205.1
A0A2B4SQH0	A0A2B4SQH0_STYPI	unreviewed	Cad96Ca AWC38_SpisGene3833	Stylophora pistillata (Smooth cauliflower coral)	Tyrosine kinase receptor Cad96Ca	844	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	PFX31323.1
A0A2B4R9U2	A0A2B4R9U2_STYPI	unreviewed	Ret AWC38_SpisGene22806	Stylophora pistillata (Smooth cauliflower coral)	Proto-oncogene tyrosine-protein kinase receptor Ret	1282	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	PFX13137.1
A0A3M6UXG9	A0A3M6UXG9_POCDA	unreviewed	pdam_00025901	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	234			RMX58355.1
A0A2B4SS69	A0A2B4SS69_STYPI	unreviewed	Ret AWC38_SpisGene3834	Stylophora pistillata (Smooth cauliflower coral)	Proto-oncogene tyrosine-protein kinase receptor Ret	854	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	PFX31327.1
A0A3M6U265	A0A3M6U265_POCDA	unreviewed	pdam_00011801	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Beta-N-acetylhexosaminidase (EC 3.2.1.52) (N-acetyl-beta-glucosaminidase)	1766	beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; polysaccharide binding [GO:0030247]; carbohydrate metabolic process [GO:0005975]	GO:0004563; GO:0005975; GO:0030247; GO:0102148	RMX47742.1
A0A3M6U277	A0A3M6U277_POCDA	unreviewed	pdam_00011803	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WAPL domain-containing protein	378			RMX47740.1
A0A3M6TN85	A0A3M6TN85_POCDA	unreviewed	pdam_00005100	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	230	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729	RMX42840.1
A0A3M6TNG9	A0A3M6TNG9_POCDA	unreviewed	pdam_00005096	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	907	cytoplasm [GO:0005737]	GO:0005737	RMX42851.1
A0A2B4QYN1	A0A2B4QYN1_STYPI	unreviewed	Btbd6 AWC38_SpisGene24980	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein 6 (Fragment)	450	cytoplasm [GO:0005737]	GO:0005737	PFX11344.1
A0A2B4RRB9	A0A2B4RRB9_STYPI	unreviewed	pol AWC38_SpisGene15871	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	647	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX19716.1
A0A3M6TSC8	A0A3M6TSC8_POCDA	unreviewed	pdam_00002471	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	272			RMX44154.1
A0A2B4S540	A0A2B4S540_STYPI	unreviewed	pol AWC38_SpisGene11517	Stylophora pistillata (Smooth cauliflower coral)	Pro-Pol polyprotein	1586	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX23920.1
A0A3M6UWQ8	A0A3M6UWQ8_POCDA	unreviewed	pdam_00013406	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	864			RMX58050.1
A0A3M6UWY7	A0A3M6UWY7_POCDA	unreviewed	pdam_00013423	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	151			RMX58034.1
A0A3M6UWL9	A0A3M6UWL9_POCDA	unreviewed	pdam_00013428	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ER membrane protein complex subunit 4 (Transmembrane protein 85) (Fragment)	192	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0016021	RMX58041.1
A0A3M6UX04	A0A3M6UX04_POCDA	unreviewed	pdam_00013433	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Palmitoyltransferase (EC 2.3.1.225)	341	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	GO:0016021; GO:0019706	RMX58054.1
A0A3M6UHK0	A0A3M6UHK0_POCDA	unreviewed	pdam_00021922	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	888	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX53147.1
A0A3M6TCA6	A0A3M6TCA6_POCDA	unreviewed	pdam_00016416	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	390	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines [GO:0016813]; metal ion binding [GO:0046872]	GO:0016813; GO:0046872	RMX38948.1
A0A3M6TC35	A0A3M6TC35_POCDA	unreviewed	pdam_00016412	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	253	integral component of membrane [GO:0016021]; synaptic vesicle [GO:0008021]	GO:0008021; GO:0016021	RMX38952.1
A0A3M6UK90	A0A3M6UK90_POCDA	unreviewed	pdam_00013669	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Aa_trans domain-containing protein	440	integral component of membrane [GO:0016021]	GO:0016021	RMX54045.1
A0A2B4SZA5	A0A2B4SZA5_STYPI	unreviewed	Ensa AWC38_SpisGene572	Stylophora pistillata (Smooth cauliflower coral)	Alpha-endosulfine	111	cytoplasm [GO:0005737]; protein phosphatase inhibitor activity [GO:0004864]; cell cycle [GO:0007049]; cell division [GO:0051301]	GO:0004864; GO:0005737; GO:0007049; GO:0051301	PFX34499.1
A0A3M6TUT9	A0A3M6TUT9_POCDA	unreviewed	pdam_00014035	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA helicase (EC 3.6.4.12)	1434	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	GO:0003676; GO:0005524; GO:0006260; GO:0006281; GO:0006310; GO:0043138	RMX45111.1
A0A3M6TUL4	A0A3M6TUL4_POCDA	unreviewed	pdam_00014029	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	646			RMX45090.1
A0A3M6USZ0	A0A3M6USZ0_POCDA	unreviewed	pdam_00024554	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DDE-1 domain-containing protein (Fragment)	379	nucleic acid binding [GO:0003676]	GO:0003676	RMX56687.1
A0A2B4SAM4	A0A2B4SAM4_STYPI	unreviewed	AWC38_SpisGene9493	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	395			PFX25870.1
A0A2B4R4X8	A0A2B4R4X8_STYPI	unreviewed	AWC38_SpisGene23875	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	749			PFX12206.1
A0A3M6T564	A0A3M6T564_POCDA	unreviewed	pdam_00021567	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidase S1 domain-containing protein	282	serine-type endopeptidase activity [GO:0004252]	GO:0004252	RMX36021.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
A0A2B4R9X2	A0A2B4R9X2_STYPI	unreviewed	pol AWC38_SpisGene22775	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	701	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13167.1
A0A3M6TBA6	A0A3M6TBA6_POCDA	unreviewed	pdam_00005929	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	191			RMX38660.1
A0A3M6UEU1	A0A3M6UEU1_POCDA	unreviewed	pdam_00004725	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1475	serine-type endopeptidase activity [GO:0004252]	GO:0004252	RMX51938.1
A0A3M6UEL2	A0A3M6UEL2_POCDA	unreviewed	pdam_00004721	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Macrophage-expressed gene 1 protein (Perforin-2)	756	cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021]	GO:0016021; GO:0030659	RMX51934.1
A0A3M6TCU5	A0A3M6TCU5_POCDA	unreviewed	pdam_00016199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2188	metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]	GO:0003950; GO:0046872	RMX39226.1
A0A3M6UGT5	A0A3M6UGT5_POCDA	unreviewed	pdam_00021625	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	321			RMX52890.1
A0A3M6V793	A0A3M6V793_POCDA	unreviewed	pdam_00024642	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Endo/exonuclease/phosphatase domain-containing protein	604			RMX61404.1
A0A3M6V633	A0A3M6V633_POCDA	unreviewed	pdam_00024639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	zf-C3HC4 domain-containing protein	174	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]	GO:0005737; GO:0046872	RMX61406.1
A0A3M6UP03	A0A3M6UP03_POCDA	unreviewed	pdam_00021341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	699	plasma membrane [GO:0005886]; scavenger receptor activity [GO:0005044]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005044; GO:0005886; GO:0007155; GO:0007411	RMX55264.1
A0A3M6TA22	A0A3M6TA22_POCDA	unreviewed	pdam_00003334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	274			RMX38193.1
A0A3M6T9W4	A0A3M6T9W4_POCDA	unreviewed	pdam_00003337	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PPM-type phosphatase domain-containing protein	367	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0004722; GO:0046872	RMX38190.1
A0A3M6TAA0	A0A3M6TAA0_POCDA	unreviewed	pdam_00003340	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	450			RMX38273.1
A0A3M6TA42	A0A3M6TA42_POCDA	unreviewed	pdam_00003349	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1155			RMX38270.1
A0A3M6TA06	A0A3M6TA06_POCDA	unreviewed	pdam_00003351	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	791			RMX38217.1
A0A3M6TA69	A0A3M6TA69_POCDA	unreviewed	pdam_00003354	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	825	NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; UDP-glucuronate biosynthetic process [GO:0006065]	GO:0003979; GO:0006065; GO:0051287	RMX38221.1
A0A3M6T708	A0A3M6T708_POCDA	unreviewed	pdam_00023299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1334	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX37142.1
A0A2B4RK94	A0A2B4RK94_STYPI	unreviewed	Fbxl20 AWC38_SpisGene18783	Stylophora pistillata (Smooth cauliflower coral)	F-box/LRR-repeat protein 20	608			PFX16910.1
A0A2B4RJB8	A0A2B4RJB8_STYPI	unreviewed	AWC38_SpisGene18780	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	559	integral component of membrane [GO:0016021]	GO:0016021	PFX16909.1
A0A3M6TLA8	A0A3M6TLA8_POCDA	unreviewed	pdam_00023542	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	757	calcium ion binding [GO:0005509]	GO:0005509	RMX42217.1
A0A2B4R7B9	A0A2B4R7B9_STYPI	unreviewed	AWC38_SpisGene21614	Stylophora pistillata (Smooth cauliflower coral)	Mab-21 domain-containing protein	475			PFX14244.1
A0A2B4RDB6	A0A2B4RDB6_STYPI	unreviewed	rdh10b AWC38_SpisGene21613	Stylophora pistillata (Smooth cauliflower coral)	Retinol dehydrogenase 10-B	472	oxidoreductase activity [GO:0016491]	GO:0016491	PFX14242.1
A0A3M6TZB3	A0A3M6TZB3_POCDA	unreviewed	pdam_00015676	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	508			RMX46730.1
A0A3M6TZB2	A0A3M6TZB2_POCDA	unreviewed	pdam_00015680	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	450			RMX46701.1
A0A3M6UCV0	A0A3M6UCV0_POCDA	unreviewed	pdam_00011367	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fanconi_A_N domain-containing protein	1433	Fanconi anaemia nuclear complex [GO:0043240]; interstrand cross-link repair [GO:0036297]	GO:0036297; GO:0043240	RMX51386.1
A0A3M6UCH6	A0A3M6UCH6_POCDA	unreviewed	pdam_00011360	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	224			RMX51393.1
A0A2B4SA01	A0A2B4SA01_STYPI	unreviewed	AWC38_SpisGene10043	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	352			PFX25352.1
A0A2B4SA11	A0A2B4SA11_STYPI	unreviewed	AWC38_SpisGene10037	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	82			PFX25362.1
A0A3M6UUE4	A0A3M6UUE4_POCDA	unreviewed	pdam_00022806	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HEPN_DZIP3 domain-containing protein	328			RMX57217.1
A0A2B4S3I6	A0A2B4S3I6_STYPI	unreviewed	DYRK1A AWC38_SpisGene10935	Stylophora pistillata (Smooth cauliflower coral)	Dual-specificity kinase (EC 2.7.12.1)	1332	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein threonine kinase activity [GO:0106311]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; zinc ion binding [GO:0008270]; protein autophosphorylation [GO:0046777]	GO:0004712; GO:0004714; GO:0005524; GO:0008270; GO:0046777; GO:0106310; GO:0106311	PFX24451.1
A0A3M6V8Z0	A0A3M6V8Z0_POCDA	unreviewed	pdam_00003551	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3155	nucleus [GO:0005634]; helicase activity [GO:0004386]; zinc ion binding [GO:0008270]	GO:0004386; GO:0005634; GO:0008270	RMX61514.1
A0A3M6V6U5	A0A3M6V6U5_POCDA	unreviewed	pdam_00003554	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	663			RMX61519.1
A0A3M6V6G8	A0A3M6V6G8_POCDA	unreviewed	pdam_00003559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ZnMc domain-containing protein	445	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0031012	RMX61471.1
A0A2B4SP32	A0A2B4SP32_STYPI	unreviewed	AWC38_SpisGene4907	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	136			PFX30282.1
A0A2B4S0D2	A0A2B4S0D2_STYPI	unreviewed	Ptprf AWC38_SpisGene12953	Stylophora pistillata (Smooth cauliflower coral)	Receptor-type tyrosine-protein phosphatase F	2132	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX22499.1
A0A3M6U9X7	A0A3M6U9X7_POCDA	unreviewed	pdam_00009244	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	575			RMX50467.1
A0A3M6U9Z8	A0A3M6U9Z8_POCDA	unreviewed	pdam_00009221	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ILEI domain-containing protein	658	integral component of membrane [GO:0016021]; acetylglucosaminyltransferase activity [GO:0008375]; metal ion binding [GO:0046872]; protein glycosylation [GO:0006486]	GO:0006486; GO:0008375; GO:0016021; GO:0046872	RMX50512.1
A0A3M6UGP9	A0A3M6UGP9_POCDA	unreviewed	pdam_00019289	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phospholipid-transporting ATPase (EC 7.6.2.1)	1316	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid transport [GO:0015914]	GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326	RMX52749.1
A0A3M6UGI6	A0A3M6UGI6_POCDA	unreviewed	pdam_00019285	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-)	387	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0016021	RMX52746.1
A0A2B4SLS7	A0A2B4SLS7_STYPI	unreviewed	AWC38_SpisGene3540	Stylophora pistillata (Smooth cauliflower coral)	Fibrinogen C-terminal domain-containing protein	328	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX31644.1
A0A3M6U7T6	A0A3M6U7T6_POCDA	unreviewed	pdam_00008615	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Aminotran_5 domain-containing protein (Fragment)	739	catalytic activity [GO:0003824]	GO:0003824	RMX49723.1
A0A3M6U866	A0A3M6U866_POCDA	unreviewed	pdam_00008623	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	880			RMX49714.1
A0A3M6UYV5	A0A3M6UYV5_POCDA	unreviewed	pdam_00021877	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	929			RMX58800.1
A0A3M6TI70	A0A3M6TI70_POCDA	unreviewed	pdam_00003313	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	B box-type domain-containing protein (Fragment)	807	zinc ion binding [GO:0008270]	GO:0008270	RMX41112.1
A0A3M6UVA6	A0A3M6UVA6_POCDA	unreviewed	pdam_00005802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	220			RMX57560.1
A0A3M6V457	A0A3M6V457_POCDA	unreviewed	pdam_00006808	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2168	integral component of membrane [GO:0016021]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0007264; GO:0016021	RMX60743.1
A0A3M6V450	A0A3M6V450_POCDA	unreviewed	pdam_00006814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	137	integral component of membrane [GO:0016021]	GO:0016021	RMX60722.1
A0A3M6V434	A0A3M6V434_POCDA	unreviewed	pdam_00006816	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CUB domain-containing protein	2530	integral component of membrane [GO:0016021]	GO:0016021	RMX60723.1
A0A3M6UD87	A0A3M6UD87_POCDA	unreviewed	pdam_00018811	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	753	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX51474.1
A0A2B4RU04	A0A2B4RU04_STYPI	unreviewed	Tuba1a AWC38_SpisGene14896	Stylophora pistillata (Smooth cauliflower coral)	Poly(A)-specific ribonuclease (EC 3.1.13.4)	1603	cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; poly(A)-specific ribonuclease activity [GO:0004535]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GO:0003924; GO:0004535; GO:0005200; GO:0005509; GO:0005525; GO:0005544; GO:0005634; GO:0005737; GO:0005874; GO:0007017	PFX20646.1
A0A3M6TQ56	A0A3M6TQ56_POCDA	unreviewed	pdam_00001985	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1719	integral component of membrane [GO:0016021]; melanocortin receptor activity [GO:0004977]	GO:0004977; GO:0016021	RMX43496.1
A0A3M6TX16	A0A3M6TX16_POCDA	unreviewed	pdam_00015065	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	199			RMX45901.1
A0A3M6TWV0	A0A3M6TWV0_POCDA	unreviewed	pdam_00015071	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	295			RMX45895.1
A0A3M6TMX0	A0A3M6TMX0_POCDA	unreviewed	pdam_00023189	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	209			RMX42763.1
