Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A35244169G
A0A3M6TST6	A0A3M6TST6_POCDA	unreviewed	pdam_00011212	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1055			RMX44416.1
A0A3M6TE59	A0A3M6TE59_POCDA	unreviewed	pdam_00022295	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CS domain-containing protein (Fragment)	860	ATP binding [GO:0005524]; cellular protein modification process [GO:0006464]	GO:0005524; GO:0006464	RMX39727.1
A0A3M6V4U2	A0A3M6V4U2_POCDA	unreviewed	pdam_00023803	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	253			RMX60966.1
A0A2B4S4H7	A0A2B4S4H7_STYPI	unreviewed	Pogk AWC38_SpisGene11086	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	424	nucleic acid binding [GO:0003676]	GO:0003676	PFX24306.1
A0A2B4SXF8	A0A2B4SXF8_STYPI	unreviewed	K02A2.6 AWC38_SpisGene1601	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	737	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX33560.1
A0A2B4SL27	A0A2B4SL27_STYPI	unreviewed	AWC38_SpisGene5161	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	456			PFX30076.1
A0A3M6TIG2	A0A3M6TIG2_POCDA	unreviewed	pdam_00013236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	General transcription factor IIF subunit 1 (Transcription initiation factor IIF subunit alpha)	893	nucleus [GO:0005634]; catalytic activity [GO:0003824]; DNA binding [GO:0003677]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0003677; GO:0003824; GO:0005634; GO:0006367; GO:0032968	RMX41213.1
A0A3M6TIS0	A0A3M6TIS0_POCDA	unreviewed	pdam_00013239	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RWD domain-containing protein 3	298	cytoplasm [GO:0005737]; nucleus [GO:0005634]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of hypoxia-inducible factor-1alpha signaling pathway [GO:1902073]; positive regulation of protein sumoylation [GO:0033235]	GO:0005634; GO:0005737; GO:0032088; GO:0033235; GO:1902073	RMX41209.1
A0A3M6TIJ4	A0A3M6TIJ4_POCDA	unreviewed	pdam_00013243	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	501	ribonucleoprotein complex [GO:1990904]; RNA binding [GO:0003723]	GO:0003723; GO:1990904	RMX41200.1
A0A2B4SF79	A0A2B4SF79_STYPI	unreviewed	YLR126C AWC38_SpisGene7544	Stylophora pistillata (Smooth cauliflower coral)	Putative glutamine amidotransferase YLR126C	505	transferase activity [GO:0016740]; glutamine metabolic process [GO:0006541]	GO:0006541; GO:0016740	PFX27759.1
A0A3G7GJU7	A0A3G7GJU7_POCDA	unreviewed		Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glutamine synthetase (EC 6.3.1.2)	362	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]	GO:0004356; GO:0005524; GO:0006542	AZC99208.1
A0A3M6TIZ5	A0A3M6TIZ5_POCDA	unreviewed	pdam_00013263	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AB hydrolase-1 domain-containing protein	355			RMX41224.1
A0A3M6UZL7	A0A3M6UZL7_POCDA	unreviewed	pdam_00009819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFA domain-containing protein	231			RMX59131.1
A0A2B4RGN3	A0A2B4RGN3_STYPI	unreviewed	mshA AWC38_SpisGene19404	Stylophora pistillata (Smooth cauliflower coral)	D-inositol 3-phosphate glycosyltransferase	1271	transferase activity [GO:0016740]	GO:0016740	PFX16326.1
A0A3M6U0F9	A0A3M6U0F9_POCDA	unreviewed	pdam_00016216	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	388			RMX47143.1
A0A3M6U0M5	A0A3M6U0M5_POCDA	unreviewed	pdam_00016209	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	909	cell differentiation [GO:0030154]; muscle organ development [GO:0007517]	GO:0007517; GO:0030154	RMX47151.1
A0A2B4SWG7	A0A2B4SWG7_STYPI	unreviewed	Ret AWC38_SpisGene891	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1741	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX34241.1
A0A3M6U0X4	A0A3M6U0X4_POCDA	unreviewed	pdam_00016225	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	904	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX47164.1
A0A3M6USP6	A0A3M6USP6_POCDA	unreviewed	pdam_00023667	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	779	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX56723.1
A0A3M6UIF2	A0A3M6UIF2_POCDA	unreviewed	pdam_00022002	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2027	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX53437.1
A0A3M6T7L6	A0A3M6T7L6_POCDA	unreviewed	pdam_00023732	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	412	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	RMX37362.1
A0A2B4RX96	A0A2B4RX96_STYPI	unreviewed	AWC38_SpisGene14572	Stylophora pistillata (Smooth cauliflower coral)	DUF5641 domain-containing protein	1478			PFX20948.1
A0A2B4R7L4	A0A2B4R7L4_STYPI	unreviewed	AWC38_SpisGene23165	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	751			PFX12813.1
A0A3M6USF8	A0A3M6USF8_POCDA	unreviewed	pdam_00002400	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	417			RMX56600.1
A0A3M6USI6	A0A3M6USI6_POCDA	unreviewed	pdam_00002411	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Transmembrane protein 208	172	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0016021	RMX56636.1
A0A3M6USJ7	A0A3M6USJ7_POCDA	unreviewed	pdam_00002414	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1415	integral component of membrane [GO:0016021]; ubiquitin ligase complex [GO:0000151]; calcium ion binding [GO:0005509]; ubiquitin-ubiquitin ligase activity [GO:0034450]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000151; GO:0005509; GO:0006511; GO:0016021; GO:0034450	RMX56641.1
A0A3M6USL8	A0A3M6USL8_POCDA	unreviewed	pdam_00002418	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3235	cytoplasm [GO:0005737]; catalase activity [GO:0004096]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	GO:0004096; GO:0005506; GO:0005737; GO:0016702; GO:0020037	RMX56645.1
A0A3M6USQ3	A0A3M6USQ3_POCDA	unreviewed	pdam_00002420	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	295			RMX56629.1
A0A3M6V0Y2	A0A3M6V0Y2_POCDA	unreviewed	pdam_00007709	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	965			RMX59218.1
A0A2B4REK7	A0A2B4REK7_STYPI	unreviewed	trim71 AWC38_SpisGene19684	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1348	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX16061.1
A0A3M6TH10	A0A3M6TH10_POCDA	unreviewed	pdam_00007483	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ubiquitin-like domain-containing protein	409			RMX40504.1
A0A3M6TGP8	A0A3M6TGP8_POCDA	unreviewed	pdam_00007487	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein Wnt (Fragment)	759	extracellular region [GO:0005576]; signaling receptor binding [GO:0005102]; multicellular organism development [GO:0007275]; Wnt signaling pathway [GO:0016055]	GO:0005102; GO:0005576; GO:0007275; GO:0016055	RMX40501.1
A0A3M6TGR1	A0A3M6TGR1_POCDA	unreviewed	pdam_00007490	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidase S72 domain-containing protein	875			RMX40538.1
A0A3M6TGJ9	A0A3M6TGJ9_POCDA	unreviewed	pdam_00007493	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	152			RMX40537.1
A0A3M6TH31	A0A3M6TH31_POCDA	unreviewed	pdam_00007494	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3715 domain-containing protein	3964			RMX40534.1
A0A3M6TGM0	A0A3M6TGM0_POCDA	unreviewed	pdam_00007511	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	710	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX40542.1
A0A3M6TST9	A0A3M6TST9_POCDA	unreviewed	pdam_00010063	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein (Fragment)	1165	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX44460.1
A0A3M6UIE7	A0A3M6UIE7_POCDA	unreviewed	pdam_00021998	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1798	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX53431.1
A0A3M6UVZ6	A0A3M6UVZ6_POCDA	unreviewed	pdam_00020680	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	312	integral component of membrane [GO:0016021]	GO:0016021	RMX57815.1
A0A2B4S733	A0A2B4S733_STYPI	unreviewed	AWC38_SpisGene11047	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1451			PFX24332.1
A0A3M6UW49	A0A3M6UW49_POCDA	unreviewed	pdam_00020684	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Exonuclease domain-containing protein	1350	integral component of membrane [GO:0016021]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0016021	RMX57819.1
A0A3M6UV89	A0A3M6UV89_POCDA	unreviewed	pdam_00024233	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	73			RMX57581.1
A0A3M6TZU6	A0A3M6TZU6_POCDA	unreviewed	pdam_00021609	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1364	integral component of membrane [GO:0016021]	GO:0016021	RMX46768.1
A0A3M6UIH7	A0A3M6UIH7_POCDA	unreviewed	pdam_00025832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	650			RMX53490.1
A0A3M6T8X5	A0A3M6T8X5_POCDA	unreviewed	pdam_00007034	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	173			RMX37857.1
A0A3M6T970	A0A3M6T970_POCDA	unreviewed	pdam_00007023	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	216			RMX37883.1
A0A3M6TJR7	A0A3M6TJR7_POCDA	unreviewed	pdam_00013086	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	561	integral component of membrane [GO:0016021]	GO:0016021	RMX41518.1
A0A3M6TJG5	A0A3M6TJG5_POCDA	unreviewed	pdam_00013089	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	194			RMX41525.1
A0A3M6TJC1	A0A3M6TJC1_POCDA	unreviewed	pdam_00013069	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Coronin	938	cytosol [GO:0005829]; Golgi membrane [GO:0000139]	GO:0000139; GO:0005829	RMX41527.1
A0A3M6TJW6	A0A3M6TJW6_POCDA	unreviewed	pdam_00013064	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein (Fragment)	165			RMX41534.1
A0A3M6TJU7	A0A3M6TJU7_POCDA	unreviewed	pdam_00013059	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase)	299	cytoplasm [GO:0005737]; glucosamine-6-phosphate deaminase activity [GO:0004342]; carbohydrate metabolic process [GO:0005975]; N-acetylglucosamine metabolic process [GO:0006044]	GO:0004342; GO:0005737; GO:0005975; GO:0006044	RMX41514.1
A0A3M6UGC3	A0A3M6UGC3_POCDA	unreviewed	pdam_00022398	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	342			RMX52730.1
A0A3M6UH90	A0A3M6UH90_POCDA	unreviewed	pdam_00022396	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Oxysterol-binding protein	754	lipid binding [GO:0008289]; lipid transport [GO:0006869]	GO:0006869; GO:0008289	RMX52728.1
A0A2B4SFW5	A0A2B4SFW5_STYPI	unreviewed	TIMP3 AWC38_SpisGene7913	Stylophora pistillata (Smooth cauliflower coral)	Metalloproteinase inhibitor 3	232	extracellular region [GO:0005576]; enzyme inhibitor activity [GO:0004857]; metalloendopeptidase inhibitor activity [GO:0008191]	GO:0004857; GO:0005576; GO:0008191	PFX27402.1
A0A2B4RUE7	A0A2B4RUE7_STYPI	unreviewed	P4HTM AWC38_SpisGene15727	Stylophora pistillata (Smooth cauliflower coral)	Transmembrane prolyl 4-hydroxylase	444	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0005509; GO:0016021; GO:0016705; GO:0031418; GO:0051213	PFX19852.1
A0A3M6UWM0	A0A3M6UWM0_POCDA	unreviewed	pdam_00017229	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HAUS-augmin3 domain-containing protein	629	cytoplasm [GO:0005737]; HAUS complex [GO:0070652]; microtubule [GO:0005874]; spindle [GO:0005819]; cell division [GO:0051301]; spindle assembly [GO:0051225]	GO:0005737; GO:0005819; GO:0005874; GO:0051225; GO:0051301; GO:0070652	RMX57999.1
A0A2B4RN35	A0A2B4RN35_STYPI	unreviewed	GLRA2 AWC38_SpisGene15731	Stylophora pistillata (Smooth cauliflower coral)	Glycine receptor subunit alpha-2	749	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	PFX19844.1
A0A3M6UWL5	A0A3M6UWL5_POCDA	unreviewed	pdam_00017230	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	820	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	RMX57997.1
A0A2B4RUD8	A0A2B4RUD8_STYPI	unreviewed	Ift74 AWC38_SpisGene15733	Stylophora pistillata (Smooth cauliflower coral)	Intraflagellar transport protein 74-like	631	intraciliary transport particle B [GO:0030992]; motile cilium [GO:0031514]; beta-tubulin binding [GO:0048487]; cilium assembly [GO:0060271]; intraciliary transport [GO:0042073]	GO:0030992; GO:0031514; GO:0042073; GO:0048487; GO:0060271	PFX19842.1
A0A2B4R0F6	A0A2B4R0F6_STYPI	unreviewed	klhl12 AWC38_SpisGene24247	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 12	1202			PFX11884.1
A0A2B4S421	A0A2B4S421_STYPI	unreviewed	N AWC38_SpisGene12221	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus Notch protein	968	calcium ion binding [GO:0005509]	GO:0005509	PFX23215.1
A0A3M6TAV3	A0A3M6TAV3_POCDA	unreviewed	pdam_00020760	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	454	calcium ion binding [GO:0005509]	GO:0005509	RMX38522.1
A0A2B4RST4	A0A2B4RST4_STYPI	unreviewed	Ttc7a AWC38_SpisGene16174	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 7A	804			PFX19407.1
A0A2B4RQR1	A0A2B4RQR1_STYPI	unreviewed	ESPN AWC38_SpisGene17034	Stylophora pistillata (Smooth cauliflower coral)	Espin	993	catalytic activity [GO:0003824]	GO:0003824	PFX18572.1
A0A3M6UAW8	A0A3M6UAW8_POCDA	unreviewed	pdam_00003153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	462	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	RMX50817.1
A0A3M6TKY7	A0A3M6TKY7_POCDA	unreviewed	pdam_00001213	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	353	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX41968.1
A0A3M6TKU4	A0A3M6TKU4_POCDA	unreviewed	pdam_00001223	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Beta-galactosidase (EC 3.2.1.23)	646	beta-galactosidase activity [GO:0004565]; carbohydrate metabolic process [GO:0005975]	GO:0004565; GO:0005975	RMX41976.1
A0A3M6TKZ6	A0A3M6TKZ6_POCDA	unreviewed	pdam_00001237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FZ domain-containing protein	408	integral component of membrane [GO:0016021]	GO:0016021	RMX42093.1
A0A3M6TLF2	A0A3M6TLF2_POCDA	unreviewed	pdam_00001238	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FZ domain-containing protein	577	integral component of membrane [GO:0016021]	GO:0016021	RMX42128.1
A0A3M6TL82	A0A3M6TL82_POCDA	unreviewed	pdam_00001245	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	N-acetyltransferase domain-containing protein	163	N-acetyltransferase activity [GO:0008080]	GO:0008080	RMX42130.1
A0A3M6TL48	A0A3M6TL48_POCDA	unreviewed	MCM7 pdam_00001246	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DNA replication licensing factor MCM7 (EC 3.6.4.12)	717	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; cell cycle [GO:0007049]; DNA replication initiation [GO:0006270]	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0007049; GO:0016787; GO:0042555	RMX42133.1
A0A3M6T7N4	A0A3M6T7N4_POCDA	unreviewed	pdam_00008918	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	397	integral component of membrane [GO:0016021]; acetylglucosaminyltransferase activity [GO:0008375]; metal ion binding [GO:0046872]; protein glycosylation [GO:0006486]	GO:0006486; GO:0008375; GO:0016021; GO:0046872	RMX37308.1
A0A3M6T7Q7	A0A3M6T7Q7_POCDA	unreviewed	pdam_00008921	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	1079	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX37318.1
A0A3M6T7C9	A0A3M6T7C9_POCDA	unreviewed	pdam_00008934	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidylprolyl isomerase (EC 5.2.1.8)	425	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755	RMX37300.1
A0A3M6T7M5	A0A3M6T7M5_POCDA	unreviewed	pdam_00008938	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF218 domain-containing protein	481	adenosine deaminase activity [GO:0004000]; metal ion binding [GO:0046872]; S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]	GO:0004000; GO:0017061; GO:0046872	RMX37298.1
A0A3M6T7Q3	A0A3M6T7Q3_POCDA	unreviewed	pdam_00008942	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2001	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of angiogenesis [GO:0016525]	GO:0004930; GO:0005886; GO:0007166; GO:0016021; GO:0016525	RMX37324.1
A0A2B4SAP8	A0A2B4SAP8_STYPI	unreviewed	AWC38_SpisGene9826	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	785			PFX25525.1
A0A2B4SHJ3	A0A2B4SHJ3_STYPI	unreviewed	TRIM56 AWC38_SpisGene6423	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM56	1331	zinc ion binding [GO:0008270]	GO:0008270	PFX28856.1
A0A3M6TLI9	A0A3M6TLI9_POCDA	unreviewed	pdam_00011608	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	310	actin binding [GO:0003779]; actin filament organization [GO:0007015]	GO:0003779; GO:0007015	RMX42232.1
A0A3M6TLE3	A0A3M6TLE3_POCDA	unreviewed	pdam_00011609	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mab-21 domain-containing protein (Fragment)	1098			RMX42233.1
A0A3M6TM11	A0A3M6TM11_POCDA	unreviewed	pdam_00014640	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	571			RMX42338.1
A0A3M6TXC5	A0A3M6TXC5_POCDA	unreviewed	pdam_00011054	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	369			RMX45948.1
A0A3M6UTD4	A0A3M6UTD4_POCDA	unreviewed	pdam_00009934	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	492	integral component of membrane [GO:0016021]	GO:0016021	RMX56827.1
A0A3M6UT14	A0A3M6UT14_POCDA	unreviewed	pdam_00009947	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1529	protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; peptide cross-linking [GO:0018149]	GO:0003810; GO:0018149	RMX56816.1
A0A3M6UNQ3	A0A3M6UNQ3_POCDA	unreviewed	pdam_00016176	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	134			RMX54988.1
A0A3M6UN13	A0A3M6UN13_POCDA	unreviewed	pdam_00016175	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	232			RMX54989.1
A0A3M6UMR1	A0A3M6UMR1_POCDA	unreviewed	pdam_00016168	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	299			RMX54977.1
A0A3M6UMQ3	A0A3M6UMQ3_POCDA	unreviewed	pdam_00016164	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	257	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-templated transcription, initiation [GO:0006352]	GO:0003677; GO:0005634; GO:0006352	RMX54973.1
A0A2B4S540	A0A2B4S540_STYPI	unreviewed	pol AWC38_SpisGene11517	Stylophora pistillata (Smooth cauliflower coral)	Pro-Pol polyprotein	1586	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX23920.1
A0A2B4RH73	A0A2B4RH73_STYPI	unreviewed	AWC38_SpisGene19205	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	400			PFX16516.1
A0A2B4SUJ4	A0A2B4SUJ4_STYPI	unreviewed	Cntnap2 AWC38_SpisGene2060	Stylophora pistillata (Smooth cauliflower coral)	Contactin-associated protein-like 2	383	protein localization to juxtaparanode region of axon [GO:0071205]	GO:0071205	PFX33016.1
A0A2B4SVN2	A0A2B4SVN2_STYPI	unreviewed	SDK1 AWC38_SpisGene247	Stylophora pistillata (Smooth cauliflower coral)	Protein sidekick-1 (Fragment)	3507	integral component of membrane [GO:0016021]	GO:0016021	PFX34734.1
A0A2B4S7M4	A0A2B4S7M4_STYPI	unreviewed	AWC38_SpisGene10873	Stylophora pistillata (Smooth cauliflower coral)	Histone H4	304	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; DNA-templated transcription, initiation [GO:0006352]	GO:0000786; GO:0003677; GO:0005634; GO:0006352; GO:0046982	PFX24522.1
A0A2B4S651	A0A2B4S651_STYPI	unreviewed	2 AWC38_SpisGene10872	Stylophora pistillata (Smooth cauliflower coral)	Histone H3	299	nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334; GO:0046982	PFX24523.1
A0A2B4S3P3	A0A2B4S3P3_STYPI	unreviewed	2 AWC38_SpisGene10883	Stylophora pistillata (Smooth cauliflower coral)	Histone H3	290	nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334; GO:0046982	PFX24511.1
A0A3M6TGK2	A0A3M6TGK2_POCDA	unreviewed	pdam_00022455	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Cytochrome c oxidase subunit (Cytochrome c oxidase polypeptide VIa)	170	integral component of membrane [GO:0016021]; mitochondrial respiratory chain complex IV [GO:0005751]; cytochrome-c oxidase activity [GO:0004129]; oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005751; GO:0006119; GO:0016021	RMX40468.1
A0A3M6UCZ3	A0A3M6UCZ3_POCDA	unreviewed	pdam_00023583	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	451	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]	GO:0005737; GO:0007165; GO:0008270; GO:0042981	RMX51439.1
A0A3M6U5T5	A0A3M6U5T5_POCDA	unreviewed	pdam_00019831	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1584	integral component of membrane [GO:0016021]; kidney development [GO:0001822]	GO:0001822; GO:0016021	RMX49053.1
