Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441B97
A0A3M6U3I0	A0A3M6U3I0_POCDA	unreviewed	pdam_00014702	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Apple domain-containing protein	123			RMX48156.1
A0A498M6J4	A0A498M6J4_LABRO	unreviewed	ROHU_008452	Labeo rohita (Indian major carp) (Cyprinus rohita)	Craniofacial development 2	317			RXN16241.1
A0A3M6UU15	A0A3M6UU15_POCDA	unreviewed	pdam_00017927	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	89			RMX57183.1
A0A2B4R8B0	A0A2B4R8B0_STYPI	unreviewed	nlrc4 AWC38_SpisGene22887	Stylophora pistillata (Smooth cauliflower coral)	NLR family CARD domain-containing protein 4	1441			PFX13063.1
A0A3M6U905	A0A3M6U905_POCDA	unreviewed	pdam_00004798	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1137			RMX50165.1
A0A3M6U922	A0A3M6U922_POCDA	unreviewed	pdam_00004790	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	565			RMX50157.1
A0A2B4RZL3	A0A2B4RZL3_STYPI	unreviewed	Pkd1l3 AWC38_SpisGene13825	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 3	3607	integral component of membrane [GO:0016021]; kidney development [GO:0001822]	GO:0001822; GO:0016021	PFX21682.1
A0A2B4RVN7	A0A2B4RVN7_STYPI	unreviewed	Tnni3k AWC38_SpisGene13830	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein kinase TNNI3K	482	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX21671.1
A0A3M6TE26	A0A3M6TE26_POCDA	unreviewed	pdam_00020819	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	446	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX39581.1
A0A3M6UX96	A0A3M6UX96_POCDA	unreviewed	pdam_00000236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phospholipid-transporting ATPase (EC 7.6.2.1)	1137	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid transport [GO:0015914]	GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326	RMX58292.1
A0A3M6UWW7	A0A3M6UWW7_POCDA	unreviewed	pdam_00000229	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CTCK domain-containing protein	178	extracellular region [GO:0005576]	GO:0005576	RMX58203.1
A0A2B4SPV2	A0A2B4SPV2_STYPI	unreviewed	AWC38_SpisGene4302	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX30910.1
A0A3M6UX40	A0A3M6UX40_POCDA	unreviewed	pdam_00000218	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	679			RMX58225.1
A0A3M6UY28	A0A3M6UY28_POCDA	unreviewed	pdam_00000217	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	357			RMX58228.1
A0A3M6UWQ1	A0A3M6UWQ1_POCDA	unreviewed	pdam_00000208	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AlbA_2 domain-containing protein	848			RMX58143.1
A0A3M6UXL7	A0A3M6UXL7_POCDA	unreviewed	pdam_00000199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	441			RMX58329.1
A0A3M6UX94	A0A3M6UX94_POCDA	unreviewed	pdam_00000195	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	107			RMX58333.1
A0A3M6U0Y5	A0A3M6U0Y5_POCDA	unreviewed	pdam_00021933	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	738	regulation of apoptotic process [GO:0042981]	GO:0042981	RMX47219.1
A0A2B4S9H1	A0A2B4S9H1_STYPI	unreviewed	F52C9.6 AWC38_SpisGene10164	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F52C9.6	903			PFX25237.1
A0A3M6V514	A0A3M6V514_POCDA	unreviewed	pdam_00007795	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	656	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX60824.1
A0A3M6V4L9	A0A3M6V4L9_POCDA	unreviewed	pdam_00007796	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	781			RMX60827.1
A0A3M6V4K5	A0A3M6V4K5_POCDA	unreviewed	pdam_00007803	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	211	calcium ion binding [GO:0005509]	GO:0005509	RMX60835.1
A0A3M6THR9	A0A3M6THR9_POCDA	unreviewed	pdam_00012044	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	469	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX40871.1
A0A3M6THJ9	A0A3M6THJ9_POCDA	unreviewed	pdam_00012038	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	448	phosphatase binding [GO:0019902]; negative regulation of phosphatase activity [GO:0010923]	GO:0010923; GO:0019902	RMX40903.1
A0A2B4SF50	A0A2B4SF50_STYPI	unreviewed	abpC AWC38_SpisGene8113	Stylophora pistillata (Smooth cauliflower coral)	Gelation factor	2019	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; oxygen binding [GO:0019825]	GO:0016021; GO:0019825; GO:0020037	PFX27162.1
A0A2B4SDJ8	A0A2B4SDJ8_STYPI	unreviewed	PNN AWC38_SpisGene8136	Stylophora pistillata (Smooth cauliflower coral)	Serine protease (EC 3.4.21.-)	916	desmosome [GO:0030057]; nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]; DNA binding [GO:0003677]; serine-type peptidase activity [GO:0008236]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	GO:0003677; GO:0005681; GO:0006397; GO:0008236; GO:0008380; GO:0016607; GO:0030057	PFX27179.1
A0A2B4SEZ7	A0A2B4SEZ7_STYPI	unreviewed	FPGT AWC38_SpisGene8139	Stylophora pistillata (Smooth cauliflower coral)	Fucose-1-phosphate guanylyltransferase	562	nucleotide binding [GO:0000166]; nucleotidyltransferase activity [GO:0016779]	GO:0000166; GO:0016779	PFX27178.1
A0A3M6TQR4	A0A3M6TQR4_POCDA	unreviewed	pdam_00025820	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	THAP-type domain-containing protein (Fragment)	242	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	RMX43608.1
A0A3M6TWJ1	A0A3M6TWJ1_POCDA	unreviewed	pdam_00004125	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	96			RMX45742.1
A0A3M6TWI2	A0A3M6TWI2_POCDA	unreviewed	pdam_00004129	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	763	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	RMX45746.1
A0A3M6UJ31	A0A3M6UJ31_POCDA	unreviewed	pdam_00000478	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	434			RMX53680.1
A0A3M6UH21	A0A3M6UH21_POCDA	unreviewed	pdam_00004217	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1600	integral component of membrane [GO:0016021]	GO:0016021	RMX52668.1
A0A3M6UAG7	A0A3M6UAG7_POCDA	unreviewed	pdam_00017157	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glycos_transf_1 domain-containing protein (Fragment)	726	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	RMX50660.1
A0A3M6T6Y9	A0A3M6T6Y9_POCDA	unreviewed	pdam_00010655	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	358			RMX37195.1
A0A3M6T769	A0A3M6T769_POCDA	unreviewed	pdam_00010658	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein	550	integral component of membrane [GO:0016021]	GO:0016021	RMX37191.1
A0A3M6T774	A0A3M6T774_POCDA	unreviewed	pdam_00010660	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	293			RMX37154.1
A0A3M6T789	A0A3M6T789_POCDA	unreviewed	pdam_00010670	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PHB domain-containing protein	464	membrane [GO:0016020]	GO:0016020	RMX37179.1
A0A2B4SG81	A0A2B4SG81_STYPI	unreviewed	AWC38_SpisGene7168	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	462	integral component of membrane [GO:0016021]	GO:0016021	PFX28109.1
A0A3M6T7B6	A0A3M6T7B6_POCDA	unreviewed	pdam_00010684	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	384	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	RMX37188.1
A0A3M6T6X0	A0A3M6T6X0_POCDA	unreviewed	pdam_00010693	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	215	phospholipid transporter activity [GO:0005548]	GO:0005548	RMX37175.1
A0A3M6T798	A0A3M6T798_POCDA	unreviewed	pdam_00010694	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Microsomal signal peptidase 25 kDa subunit	218	integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]; signal peptide processing [GO:0006465]	GO:0005787; GO:0006465; GO:0016021	RMX37168.1
A0A3M6TI20	A0A3M6TI20_POCDA	unreviewed	pdam_00025066	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	289	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; zinc ion binding [GO:0008270]	GO:0005576; GO:0005737; GO:0008270	RMX40959.1
A0A3M6TUQ6	A0A3M6TUQ6_POCDA	unreviewed	pdam_00016501	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1124	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX45133.1
A0A291L0V7	A0A291L0V7_POCDA	unreviewed		Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Soluble adenylyl cyclase	1888	lyase activity [GO:0016829]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	GO:0009190; GO:0016829; GO:0035556	ATI09484.1
A0A3M6TV56	A0A3M6TV56_POCDA	unreviewed	pdam_00016494	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Acetyl-CoA deacylase (EC 3.1.2.1) (Acetyl-CoA hydrolase) (Fragment)	491	acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]; acetate metabolic process [GO:0006083]; propionate metabolic process, methylcitrate cycle [GO:0019679]	GO:0003986; GO:0006083; GO:0008775; GO:0019679	RMX45144.1
A0A3M6TUQ2	A0A3M6TUQ2_POCDA	unreviewed	pdam_00016488	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	630	extracellular region [GO:0005576]; chitin binding [GO:0008061]	GO:0005576; GO:0008061	RMX45132.1
A0A2B4RCB4	A0A2B4RCB4_STYPI	unreviewed	Bco2 AWC38_SpisGene21848	Stylophora pistillata (Smooth cauliflower coral)	Beta,beta-carotene 9',10'-oxygenase	761	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	GO:0005524; GO:0016702; GO:0016887; GO:0046872	PFX14028.1
A0A3M6TV14	A0A3M6TV14_POCDA	unreviewed	pdam_00016476	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	838	calcium ion binding [GO:0005509]	GO:0005509	RMX45119.1
A0A3M6V5G6	A0A3M6V5G6_POCDA	unreviewed	pdam_00016692	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	752	catalytic activity [GO:0003824]	GO:0003824	RMX61129.1
A0A3M6V5I3	A0A3M6V5I3_POCDA	unreviewed	pdam_00016689	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin-like protein	933	integral component of membrane [GO:0016021]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0005874; GO:0007018; GO:0008017; GO:0016021; GO:1990939	RMX61147.1
A0A2B4SE64	A0A2B4SE64_STYPI	unreviewed	Abcd4 AWC38_SpisGene7656	Stylophora pistillata (Smooth cauliflower coral)	ATP-binding cassette sub-family D member 4	738	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626	PFX27666.1
A0A3M6TK44	A0A3M6TK44_POCDA	unreviewed	pdam_00025261	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	174			RMX41716.1
A0A3M6UM57	A0A3M6UM57_POCDA	unreviewed	pdam_00011514	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	348			RMX54722.1
A0A3M6USS7	A0A3M6USS7_POCDA	unreviewed	pdam_00025286	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	430	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX56753.1
A0A3M6UM65	A0A3M6UM65_POCDA	unreviewed	pdam_00011521	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Sulfotransfer_1 domain-containing protein	451	integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]	GO:0008146; GO:0016021	RMX54735.1
A0A2B4SN62	A0A2B4SN62_STYPI	unreviewed	EGF1 AWC38_SpisGene5287	Stylophora pistillata (Smooth cauliflower coral)	Fibropellin-1	6083	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX29962.1
A0A3M6UM71	A0A3M6UM71_POCDA	unreviewed	pdam_00011535	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	247	integral component of membrane [GO:0016021]	GO:0016021	RMX54709.1
A0A2B4R6G0	A0A2B4R6G0_STYPI	unreviewed	PRKRIR AWC38_SpisGene22706	Stylophora pistillata (Smooth cauliflower coral)	52 kDa repressor of the inhibitor of the protein kinase	631	kinase activity [GO:0016301]; protein dimerization activity [GO:0046983]	GO:0016301; GO:0046983	PFX13231.1
A0A3M6UN26	A0A3M6UN26_POCDA	unreviewed	pdam_00020793	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	203			RMX54999.1
A0A2B4S5T5	A0A2B4S5T5_STYPI	unreviewed	mkkA AWC38_SpisGene10631	Stylophora pistillata (Smooth cauliflower coral)	Mitogen-activated protein kinase kinase kinase A	1499	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	PFX24756.1
A0A3M6TU94	A0A3M6TU94_POCDA	unreviewed	pdam_00016358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GSAP-16 domain-containing protein (Fragment)	974			RMX44804.1
A0A3M6TTS1	A0A3M6TTS1_POCDA	unreviewed	pdam_00016350	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	204			RMX44812.1
A0A3M6URE6	A0A3M6URE6_POCDA	unreviewed	pdam_00012094	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	705	calcium ion binding [GO:0005509]	GO:0005509	RMX56134.1
A0A2B4RSV9	A0A2B4RSV9_STYPI	unreviewed	Notch1 AWC38_SpisGene14850	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus notch-like protein 1	408	calcium ion binding [GO:0005509]	GO:0005509	PFX20691.1
A0A3M6UIF5	A0A3M6UIF5_POCDA	unreviewed	pdam_00013272	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	236	integral component of membrane [GO:0016021]; channel activity [GO:0015267]	GO:0015267; GO:0016021	RMX53470.1
A0A3M6UIS2	A0A3M6UIS2_POCDA	unreviewed	pdam_00013273	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	261	integral component of membrane [GO:0016021]; channel activity [GO:0015267]	GO:0015267; GO:0016021	RMX53469.1
A0A3M6UIJ8	A0A3M6UIJ8_POCDA	unreviewed	pdam_00013275	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	477	integral component of membrane [GO:0016021]	GO:0016021	RMX53455.1
A0A2B4S6N7	A0A2B4S6N7_STYPI	unreviewed	AWC38_SpisGene9790	Stylophora pistillata (Smooth cauliflower coral)	cAMP-dependent protein kinase type II regulatory subunit	2250	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; cAMP binding [GO:0030552]; ionotropic glutamate receptor activity [GO:0004970]; kinase activity [GO:0016301]	GO:0004970; GO:0016021; GO:0016301; GO:0030552; GO:0045211	PFX25571.1
A0A3M6UII1	A0A3M6UII1_POCDA	unreviewed	pdam_00013279	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PBPe domain-containing protein	921	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0016021; GO:0045211	RMX53467.1
A0A2B4S972	A0A2B4S972_STYPI	unreviewed	AWC38_SpisGene9792	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	68	integral component of membrane [GO:0016021]	GO:0016021	PFX25573.1
A0A2B4S8Z9	A0A2B4S8Z9_STYPI	unreviewed	Rims2 AWC38_SpisGene9794	Stylophora pistillata (Smooth cauliflower coral)	Regulating synaptic membrane exocytosis protein 2	1017	membrane [GO:0016020]; small GTPase binding [GO:0031267]; exocytosis [GO:0006887]	GO:0006887; GO:0016020; GO:0031267	PFX25569.1
A0A3M6UIE0	A0A3M6UIE0_POCDA	unreviewed	pdam_00013285	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1714			RMX53460.1
A0A3M6UIH9	A0A3M6UIH9_POCDA	unreviewed	pdam_00013291	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SANT domain-containing protein	451			RMX53446.1
A0A3M6URD2	A0A3M6URD2_POCDA	unreviewed	pdam_00011670	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	551	signal transduction [GO:0007165]	GO:0007165	RMX56236.1
A0A2B4RU21	A0A2B4RU21_STYPI	unreviewed	KLHL3 AWC38_SpisGene15736	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 3	1488			PFX19847.1
A0A2B4SCD1	A0A2B4SCD1_STYPI	unreviewed	AWC38_SpisGene9054	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	507	integral component of membrane [GO:0016021]	GO:0016021	PFX26248.1
A0A3M6T4R9	A0A3M6T4R9_POCDA	unreviewed	pdam_00005239	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	922	multicellular organism development [GO:0007275]	GO:0007275	RMX35977.1
A0A2B4REM3	A0A2B4REM3_STYPI	unreviewed	pol AWC38_SpisGene20969	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	583	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX14838.1
A0A3M6T4Q0	A0A3M6T4Q0_POCDA	unreviewed	pdam_00005248	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	306			RMX35957.1
A0A2B4SBY7	A0A2B4SBY7_STYPI	unreviewed	Ttc28 AWC38_SpisGene7883	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	2106			PFX27381.1
A0A432I433	A0A432I433_9GAMM	unreviewed	DSY43_05490	Gammaproteobacteria bacterium	Uncharacterized protein (Fragment)	992			RUA05016.1
A0A2B4R6Z1	A0A2B4R6Z1_STYPI	unreviewed	AWC38_SpisGene24109	Stylophora pistillata (Smooth cauliflower coral)	Reverse transcriptase domain-containing protein	511			PFX12002.1
A0A3M6USJ3	A0A3M6USJ3_POCDA	unreviewed	pdam_00011450	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	373			RMX56298.1
A0A3M6UWB8	A0A3M6UWB8_POCDA	unreviewed	pdam_00020690	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	724			RMX57814.1
A0A4D6Q2Z0	A0A4D6Q2Z0_FIMAN	unreviewed	rGC6	Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	Guanylate cyclase (EC 4.6.1.2) (Fragment)	1058	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	GO:0004383; GO:0004672; GO:0005524; GO:0016021; GO:0035556	QCF40883.1
A0A2B4S256	A0A2B4S256_STYPI	unreviewed	trim71 AWC38_SpisGene12327	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1983	cytoplasm [GO:0005737]; FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]; zinc ion binding [GO:0008270]	GO:0004497; GO:0005737; GO:0008270; GO:0071949	PFX23129.1
A0A3M6TVH2	A0A3M6TVH2_POCDA	unreviewed	pdam_00019298	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	350	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491	RMX45425.1
A0A2B4RY61	A0A2B4RY61_STYPI	unreviewed	ENPEP AWC38_SpisGene14352	Stylophora pistillata (Smooth cauliflower coral)	Glutamyl aminopeptidase	1251	integral component of membrane [GO:0016021]; aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	GO:0004177; GO:0008237; GO:0008270; GO:0016021	PFX21185.1
A0A3M6TVY0	A0A3M6TVY0_POCDA	unreviewed	pdam_00019303	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1138			RMX45434.1
A0A3M6U1X7	A0A3M6U1X7_POCDA	unreviewed	pdam_00013599	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	142	integral component of membrane [GO:0016021]	GO:0016021	RMX47683.1
A0A2B4SLM6	A0A2B4SLM6_STYPI	unreviewed	AWC38_SpisGene5778	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	705			PFX29488.1
A0A2B4RT88	A0A2B4RT88_STYPI	unreviewed	AWC38_SpisGene15550	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	89	integral component of membrane [GO:0016021]	GO:0016021	PFX20023.1
A0A2B4RS66	A0A2B4RS66_STYPI	unreviewed	Ndufa8 AWC38_SpisGene15552	Stylophora pistillata (Smooth cauliflower coral)	Complex I-19kD (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	163	mitochondrion [GO:0005739]; respirasome [GO:0070469]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]	GO:0005739; GO:0006120; GO:0070469	PFX20016.1
A0A2B4SVI8	A0A2B4SVI8_STYPI	unreviewed	RTase AWC38_SpisGene358	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	275	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX34694.1
A0A2B4R3D2	A0A2B4R3D2_STYPI	unreviewed	AWC38_SpisGene24529	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	613			PFX11656.1
A0A432I8V3	A0A432I8V3_9GAMM	unreviewed	DSY43_01230	Gammaproteobacteria bacterium	Uncharacterized protein	914			RUA06787.1
A0A3M6TES8	A0A3M6TES8_POCDA	unreviewed	pdam_00025006	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	103			RMX39915.1
A0A3M6UFK7	A0A3M6UFK7_POCDA	unreviewed	pdam_00020506	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	279			RMX52339.1
A0A2B4R7T1	A0A2B4R7T1_STYPI	unreviewed	AWC38_SpisGene23081	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1492	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX12889.1
A0A3M6TQE3	A0A3M6TQE3_POCDA	unreviewed	pdam_00024648	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	400			RMX43633.1
A0A2B4SW97	A0A2B4SW97_STYPI	unreviewed	AWC38_SpisGene1519	Stylophora pistillata (Smooth cauliflower coral)	SWIM-type domain-containing protein	1118	integral component of membrane [GO:0016021]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]; positive regulation of transcription from RNA polymerase II promoter in response to calcium ion [GO:0061400]	GO:0003700; GO:0008270; GO:0016021; GO:0061400	PFX33616.1
A0A3M6U9S6	A0A3M6U9S6_POCDA	unreviewed	pdam_00022642	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Endo/exonuclease/phosphatase domain-containing protein (Fragment)	573			RMX50299.1
A0A2B4STW4	A0A2B4STW4_STYPI	unreviewed	ZNF862 AWC38_SpisGene2592	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger protein 862	1847			PFX32579.1
A0A3M6U0V1	A0A3M6U0V1_POCDA	unreviewed	pdam_00022259	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TTF-type domain-containing protein	394			RMX47179.1
A0A3M6U2H4	A0A3M6U2H4_POCDA	unreviewed	pdam_00008559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	214	integral component of membrane [GO:0016021]; mitochondrial envelope [GO:0005740]; positive regulation of apoptotic process [GO:0043065]	GO:0005740; GO:0016021; GO:0043065	RMX47830.1
A0A3M6UWX3	A0A3M6UWX3_POCDA	unreviewed	pdam_00000011	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	788			RMX58117.1
A0A3M6TCC8	A0A3M6TCC8_POCDA	unreviewed	pdam_00017600	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	683			RMX39052.1
A0A2B4S0V1	A0A2B4S0V1_STYPI	unreviewed	AWC38_SpisGene13305	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	83			PFX22188.1
